Scopus-125029-Analyze-Country

"Your query : (AUTHKEY({water management} OR {pollution control} OR {ecosystem} OR {Danube} OR {Danube Delta} OR {climate change} OR {environmental protection} OR {biodiversity} OR {flood risk} OR {sustainable development} OR {biomaterials} OR {biofuels} OR {nanomaterials} OR {bioeconomy} OR {biobanking} OR {Black Sea}) AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 125029

"COUNTRY/TERRITORY",
"United States","30947"
"China","16374"
"United Kingdom","13147"
"Germany","8896"
"Australia","8123"
"Canada","7435"
"France","6088"
"Italy","4819"
"Spain","4563"
"Netherlands","4516"
"India","4032"
"Brazil","3657"
"Japan","3649"
"Sweden","3395"
"Switzerland","3045"
"Finland","1959"
"South Africa","1958"
"Norway","1929"
"Poland","1927"
"South Korea","1922"
"Russian Federation","1909"
"Denmark","1745"
"Turkey","1741"
"Belgium","1712"
"Austria","1650"
"New Zealand","1587"
"Romania","1475"
"Portugal","1454"
"Mexico","1345"
"Greece","1181"
"Czech Republic","1041"
"Taiwan","1012"
"Malaysia","963"
"Iran","927"
"Argentina","829"
"Hungary","774"
"Ireland","731"
"Israel","684"
"Singapore","623"
"Ukraine","617"
"Chile","603"
"Thailand","600"
"Hong Kong","597"
"Colombia","539"
"Kenya","504"
"Slovenia","456"
"Indonesia","453"
"Slovakia","435"
"Croatia","416"
"Bulgaria","410"
"Egypt","406"
"Nigeria","402"
"Serbia","401"
"Saudi Arabia","337"
"Philippines","331"
"Lithuania","322"
"Estonia","311"
"Pakistan","302"
"Bangladesh","277"
"Viet Nam","239"
"Tanzania","234"
"Costa Rica","219"
"Ethiopia","200"
"Nepal","179"
"Tunisia","177"
"Peru","170"
"Ghana","166"
"Sri Lanka","164"
"Ecuador","162"
"Morocco","159"
"Panama","150"
"Venezuela","150"
"Algeria","145"
"Latvia","144"
"United Arab Emirates","119"
"Cameroon","115"
"Iceland","115"
"Jordan","114"
"Uganda","110"
"Cuba","108"
"Puerto Rico","97"
"Uruguay","90"
"Zimbabwe","88"
"Bolivia","86"
"Botswana","86"
"Cyprus","82"
"Burkina Faso","78"
"Madagascar","78"
"Senegal","78"
"Benin","75"
"Fiji","72"
"Oman","72"
"Georgia","70"
"Kazakhstan","70"
"Luxembourg","68"
"Laos","67"
"New Caledonia","67"
"Uzbekistan","62"
"Greenland","61"
"Lebanon","60"
"Kuwait","59"
"Malawi","55"
"Belarus","54"
"Namibia","53"
"Mali","52"
"Mongolia","50"
"Trinidad and Tobago","44"
"Jamaica","42"
"Nicaragua","39"
"Zambia","39"
"Cote d'Ivoire","38"
"Albania","37"
"Macedonia","37"
"Cambodia","35"
"Syrian Arab Republic","35"
"Niger","33"
"Qatar","33"
"Sudan","33"
"Congo","31"
"Mauritius","31"
"Mozambique","31"
"Monaco","30"
"Palestine","30"
"Barbados","28"
"Malta","28"
"Bosnia and Herzegovina","27"
"Brunei Darussalam","26"
"French Guiana","26"
"French Polynesia","26"
"Armenia","23"
"Papua New Guinea","23"
"Azerbaijan","22"
"Bahrain","21"
"Rwanda","21"
"Iraq","20"
"Montenegro","20"
"Moldova","19"
"Guatemala","18"
"Belize","17"
"Kyrgyzstan","17"
"Yugoslavia","17"
"Solomon Islands","16"
"Swaziland","16"
"Togo","15"
"Mauritania","14"
"Myanmar","14"
"Bhutan","13"
"Macao","12"
"Seychelles","12"
"Gabon","11"
"Samoa","11"
"Angola","10"
"Dominican Republic","10"
"Faroe Islands","10"
"Guinea","10"
"Guyana","10"
"Honduras","10"
"Liechtenstein","10"
"Yemen","10"
"Undefined","2231"
