Scopus-916-Analyze-Country

"Your query : (AUTHKEY(""Danube"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 916

"COUNTRY/TERRITORY",
"Romania","211"
"Hungary","124"
"Austria","120"
"Serbia","109"
"Germany","90"
"Slovakia","85"
"Croatia","60"
"France","46"
"Bulgaria","44"
"United Kingdom","43"
"United States","42"
"Czech Republic","36"
"Ukraine","36"
"Netherlands","27"
"Italy","19"
"Greece","15"
"Slovenia","15"
"Belgium","13"
"Switzerland","13"
"Canada","8"
"Russian Federation","8"
"Turkey","8"
"Poland","7"
"Spain","6"
"Sweden","6"
"Yugoslavia","6"
"Portugal","5"
"Australia","4"
"Norway","4"
"China","3"
"Denmark","3"
"Finland","3"
"Lithuania","3"
"Macedonia","3"
"South Africa","3"
"Bosnia and Herzegovina","2"
"Brazil","2"
"Ireland","2"
"Japan","2"
"Moldova","2"
"Argentina","1"
"India","1"
"Iran","1"
"Israel","1"
"Lebanon","1"
"Luxembourg","1"
"Montenegro","1"
"Morocco","1"
"New Zealand","1"
"Syrian Arab Republic","1"
"Thailand","1"
"Undefined","14"
