Scopus-8395-Analyze-Country

"Your query : (AUTHKEY(""biofuels"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 8395

"COUNTRY/TERRITORY",
"United States","2968"
"China","588"
"United Kingdom","501"
"Germany","466"
"Brazil","464"
"India","391"
"France","308"
"Canada","303"
"Sweden","299"
"Italy","285"
"Netherlands","275"
"Spain","254"
"Japan","240"
"Australia","221"
"Malaysia","159"
"Finland","153"
"South Korea","138"
"Denmark","125"
"Austria","111"
"Belgium","102"
"Poland","102"
"Switzerland","97"
"Mexico","88"
"Ireland","87"
"Greece","85"
"Taiwan","85"
"South Africa","84"
"Turkey","81"
"Czech Republic","79"
"Russian Federation","65"
"Singapore","62"
"Colombia","61"
"Portugal","58"
"Thailand","57"
"New Zealand","56"
"Norway","53"
"Lithuania","49"
"Indonesia","47"
"Romania","39"
"Saudi Arabia","37"
"Hungary","36"
"Nigeria","34"
"Slovakia","34"
"Israel","33"
"Argentina","29"
"Iran","27"
"Philippines","23"
"Latvia","22"
"Pakistan","22"
"Hong Kong","19"
"Kenya","19"
"Chile","18"
"Ukraine","18"
"Egypt","17"
"Cuba","14"
"Serbia","14"
"Estonia","12"
"Ethiopia","12"
"Slovenia","12"
"Bangladesh","11"
"Belarus","11"
"Ghana","11"
"United Arab Emirates","10"
"Bulgaria","9"
"Croatia","8"
"Oman","7"
"Tunisia","7"
"Algeria","6"
"Burkina Faso","6"
"Nepal","6"
"Qatar","6"
"Viet Nam","6"
"Lebanon","5"
"Sri Lanka","5"
"Tanzania","5"
"Zambia","5"
"Zimbabwe","5"
"Botswana","4"
"Iraq","4"
"Jordan","4"
"Kazakhstan","4"
"Peru","4"
"Puerto Rico","4"
"Fiji","3"
"Luxembourg","3"
"Malawi","3"
"Panama","3"
"Sudan","3"
"Uganda","3"
"Armenia","2"
"Benin","2"
"Brunei Darussalam","2"
"Iceland","2"
"Kuwait","2"
"Mauritius","2"
"Moldova","2"
"Mozambique","2"
"Albania","1"
"Angola","1"
"Bosnia and Herzegovina","1"
"Cambodia","1"
"Cameroon","1"
"Cyprus","1"
"Dominican Republic","1"
"Ecuador","1"
"Eritrea","1"
"Guatemala","1"
"Honduras","1"
"Kyrgyzstan","1"
"Laos","1"
"Madagascar","1"
"Malta","1"
"Morocco","1"
"Senegal","1"
"Somalia","1"
"Syrian Arab Republic","1"
"Togo","1"
"Uzbekistan","1"
"Undefined","160"
