Scopus-8512-Analyze-Country

"Your query : (AUTHKEY(""biomaterials"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 8512

"COUNTRY/TERRITORY",
"United States","1924"
"China","1458"
"Japan","587"
"Germany","567"
"United Kingdom","412"
"Italy","387"
"Brazil","373"
"India","365"
"South Korea","347"
"France","316"
"Spain","301"
"Canada","271"
"Poland","258"
"Australia","218"
"Portugal","214"
"Netherlands","155"
"Switzerland","149"
"Turkey","135"
"Taiwan","129"
"Singapore","125"
"Romania","117"
"Belgium","88"
"Sweden","87"
"Iran","83"
"Russian Federation","82"
"Mexico","77"
"Hong Kong","75"
"Austria","73"
"Malaysia","72"
"Ireland","61"
"Egypt","53"
"Greece","51"
"Thailand","49"
"Argentina","46"
"Czech Republic","46"
"Israel","43"
"Saudi Arabia","43"
"Finland","41"
"Denmark","37"
"Colombia","31"
"New Zealand","26"
"Norway","25"
"Serbia","24"
"Bulgaria","21"
"Chile","20"
"Hungary","19"
"Pakistan","16"
"Slovakia","16"
"South Africa","16"
"Slovenia","13"
"Tunisia","12"
"Cuba","11"
"Ukraine","11"
"Algeria","10"
"Indonesia","9"
"Morocco","8"
"Nigeria","8"
"Croatia","7"
"Nepal","7"
"Venezuela","7"
"Latvia","6"
"Viet Nam","6"
"Lithuania","5"
"United Arab Emirates","5"
"Liechtenstein","4"
"Yugoslavia","4"
"Bangladesh","3"
"Belarus","3"
"Ecuador","3"
"Ethiopia","3"
"Kuwait","3"
"Luxembourg","3"
"Qatar","3"
"Uruguay","3"
"Albania","2"
"Estonia","2"
"Iraq","2"
"Jordan","2"
"Lebanon","2"
"Macao","2"
"Peru","2"
"Philippines","2"
"Armenia","1"
"Bahrain","1"
"Bosnia and Herzegovina","1"
"Costa Rica","1"
"Cote d'Ivoire","1"
"Georgia","1"
"Iceland","1"
"Jamaica","1"
"Kazakhstan","1"
"Kyrgyzstan","1"
"Libyan Arab Jamahiriya","1"
"Mauritius","1"
"Moldova","1"
"Oman","1"
"Palestine","1"
"Puerto Rico","1"
"Syrian Arab Republic","1"
"Uzbekistan","1"
"Undefined","150"
