Scopus-39561-Analyze-Country

"Your query : (AUTHKEY(""climate change"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 39561

"COUNTRY/TERRITORY",
"United States","11792"
"United Kingdom","5711"
"Australia","3895"
"China","3481"
"Canada","3292"
"Germany","3241"
"France","1819"
"Netherlands","1617"
"Spain","1464"
"Italy","1401"
"Sweden","1381"
"Switzerland","1197"
"India","1077"
"Norway","1042"
"Japan","933"
"Denmark","797"
"Finland","787"
"South Africa","679"
"Brazil","634"
"Austria","616"
"New Zealand","591"
"South Korea","545"
"Belgium","499"
"Russian Federation","491"
"Portugal","407"
"Poland","387"
"Mexico","327"
"Greece","286"
"Czech Republic","276"
"Hungary","265"
"Turkey","243"
"Malaysia","228"
"Iran","225"
"Taiwan","225"
"Kenya","222"
"Argentina","217"
"Ireland","213"
"Israel","193"
"Chile","188"
"Romania","166"
"Thailand","158"
"Singapore","145"
"Indonesia","144"
"Nigeria","143"
"Bangladesh","141"
"Hong Kong","138"
"Colombia","129"
"Estonia","115"
"Philippines","111"
"Egypt","96"
"Viet Nam","91"
"Nepal","87"
"Pakistan","87"
"Ethiopia","86"
"Slovakia","82"
"Slovenia","80"
"Croatia","78"
"Lithuania","75"
"Peru","74"
"Ghana","68"
"Saudi Arabia","68"
"Costa Rica","63"
"Iceland","63"
"Bulgaria","57"
"Sri Lanka","57"
"Tanzania","57"
"Serbia","56"
"Panama","53"
"Greenland","48"
"Uganda","46"
"Morocco","44"
"Fiji","42"
"Zimbabwe","42"
"Cameroon","41"
"United Arab Emirates","40"
"Botswana","39"
"Ecuador","38"
"Jordan","37"
"Tunisia","37"
"Latvia","36"
"Uruguay","36"
"Cyprus","35"
"Ukraine","35"
"Burkina Faso","34"
"Senegal","31"
"Luxembourg","29"
"Puerto Rico","29"
"Mali","26"
"Bolivia","25"
"Laos","25"
"Oman","25"
"Venezuela","24"
"Algeria","23"
"Benin","23"
"Malawi","22"
"Trinidad and Tobago","22"
"Uzbekistan","22"
"Georgia","21"
"Mongolia","21"
"Lebanon","20"
"Jamaica","19"
"Niger","19"
"Cuba","18"
"Nicaragua","18"
"Cambodia","15"
"Kazakhstan","14"
"Mauritius","14"
"Barbados","13"
"Macedonia","13"
"Monaco","13"
"Namibia","13"
"New Caledonia","12"
"Zambia","12"
"Bahrain","11"
"Bosnia and Herzegovina","11"
"Madagascar","11"
"Mozambique","11"
"Sudan","11"
"Syrian Arab Republic","11"
"Brunei Darussalam","10"
"Kyrgyzstan","10"
"Palestine","10"
"Belarus","9"
"Congo","9"
"Kuwait","9"
"Bermuda","8"
"French Polynesia","8"
"Guatemala","8"
"Qatar","8"
"Rwanda","8"
"Swaziland","8"
"Belize","7"
"Iraq","7"
"Malta","7"
"Albania","6"
"Armenia","6"
"Falkland Islands (Malvinas)","6"
"Papua New Guinea","6"
"Dominican Republic","5"
"Faroe Islands","5"
"Federated States of Micronesia","5"
"Mauritania","5"
"Samoa","5"
"Seychelles","5"
"Solomon Islands","5"
"Tajikistan","5"
"Andorra","4"
"Azerbaijan","4"
"Bhutan","4"
"Cayman Islands","4"
"Cote d'Ivoire","4"
"Grenada","4"
"Honduras","4"
"Moldova","4"
"Angola","3"
"Bahamas","3"
"French Guiana","3"
"Gabon","3"
"Guyana","3"
"Undefined","685"
