Scopus-1051-Analyze-Country

"Your query : (AUTHKEY(""flood risk"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 1051

"COUNTRY/TERRITORY",
"United Kingdom","262"
"Netherlands","171"
"Germany","115"
"China","107"
"United States","96"
"Italy","79"
"France","41"
"Japan","39"
"Spain","38"
"Canada","35"
"Austria","28"
"Australia","27"
"Belgium","23"
"Switzerland","22"
"Poland","19"
"Czech Republic","17"
"Slovakia","16"
"South Korea","14"
"Sweden","13"
"Denmark","11"
"Norway","11"
"Thailand","11"
"India","9"
"Iran","9"
"Brazil","8"
"Greece","8"
"Romania","8"
"Malaysia","7"
"Portugal","7"
"Taiwan","7"
"Bangladesh","6"
"Mexico","6"
"Hungary","5"
"Luxembourg","5"
"South Africa","5"
"Argentina","4"
"Finland","4"
"Indonesia","4"
"New Zealand","4"
"Russian Federation","4"
"Singapore","4"
"Turkey","4"
"Hong Kong","3"
"Ireland","3"
"Trinidad and Tobago","3"
"Botswana","2"
"Bulgaria","2"
"Colombia","2"
"Jamaica","2"
"Kenya","2"
"Latvia","2"
"Nepal","2"
"Nigeria","2"
"Slovenia","2"
"Viet Nam","2"
"Benin","1"
"Cameroon","1"
"Chile","1"
"Croatia","1"
"Estonia","1"
"Ethiopia","1"
"Ghana","1"
"Iceland","1"
"Israel","1"
"Jordan","1"
"Kazakhstan","1"
"Lithuania","1"
"Morocco","1"
"Mozambique","1"
"Pakistan","1"
"Philippines","1"
"Rwanda","1"
"Saudi Arabia","1"
"Sri Lanka","1"
"Syrian Arab Republic","1"
"Tunisia","1"
"Ukraine","1"
"Undefined","37"
