Scopus-8476-Analyze-Country

"Your query : (AUTHKEY(""nanomaterials"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 8476

"COUNTRY/TERRITORY",
"China","2580"
"United States","1629"
"India","596"
"South Korea","472"
"Japan","406"
"Germany","368"
"France","337"
"United Kingdom","320"
"Italy","279"
"Russian Federation","231"
"Poland","206"
"Iran","193"
"Spain","180"
"Canada","175"
"Taiwan","174"
"Singapore","143"
"Australia","132"
"Switzerland","106"
"Brazil","103"
"Hong Kong","90"
"Mexico","88"
"Turkey","88"
"Malaysia","87"
"Romania","86"
"Sweden","86"
"Netherlands","81"
"Saudi Arabia","72"
"Israel","67"
"Portugal","65"
"Egypt","62"
"Belgium","54"
"Denmark","54"
"Austria","52"
"Ukraine","46"
"Finland","44"
"Czech Republic","43"
"Ireland","43"
"South Africa","43"
"Greece","42"
"Thailand","36"
"Argentina","32"
"Norway","28"
"Serbia","27"
"Pakistan","26"
"Slovenia","26"
"Belarus","22"
"Chile","18"
"Hungary","18"
"Slovakia","18"
"Colombia","16"
"New Zealand","16"
"Bulgaria","15"
"Viet Nam","15"
"Algeria","14"
"Lithuania","13"
"Croatia","12"
"Tunisia","12"
"Nigeria","10"
"Cyprus","9"
"Kazakhstan","9"
"Latvia","7"
"Qatar","7"
"Indonesia","5"
"Oman","5"
"United Arab Emirates","5"
"Kuwait","4"
"Moldova","4"
"Morocco","4"
"Philippines","4"
"Cuba","3"
"Ecuador","3"
"Estonia","3"
"Georgia","3"
"Azerbaijan","2"
"Barbados","2"
"Cameroon","2"
"Ethiopia","2"
"Kyrgyzstan","2"
"Nepal","2"
"North Korea","2"
"Peru","2"
"Senegal","2"
"Bahrain","1"
"Bangladesh","1"
"Dominica","1"
"Guadeloupe","1"
"Iraq","1"
"Lebanon","1"
"Luxembourg","1"
"Macedonia","1"
"Malawi","1"
"Sudan","1"
"United States Minor Outlying Islands","1"
"Uruguay","1"
"Uzbekistan","1"
"Venezuela","1"
"Undefined","116"
