Scopus-13845-Analyze-Country

"Your query : (AUTHKEY(""sustainable development"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 13845

"COUNTRY/TERRITORY",
"China","2585"
"United States","1775"
"United Kingdom","1284"
"Australia","612"
"Canada","582"
"France","563"
"Germany","519"
"Romania","421"
"Brazil","414"
"Netherlands","407"
"Sweden","380"
"Spain","379"
"India","374"
"Italy","336"
"Poland","310"
"Malaysia","236"
"Switzerland","215"
"Greece","212"
"South Africa","196"
"Japan","189"
"Russian Federation","174"
"Iran","167"
"Turkey","167"
"Belgium","164"
"Austria","159"
"Finland","159"
"Slovenia","156"
"Lithuania","155"
"Taiwan","143"
"Hong Kong","130"
"Portugal","126"
"New Zealand","118"
"Croatia","114"
"Norway","112"
"Czech Republic","106"
"Denmark","105"
"Mexico","99"
"Nigeria","98"
"Ukraine","96"
"South Korea","95"
"Serbia","87"
"Egypt","66"
"Hungary","61"
"Thailand","60"
"Ireland","59"
"Singapore","56"
"Slovakia","53"
"Latvia","48"
"Indonesia","45"
"Colombia","43"
"Chile","41"
"Algeria","39"
"Pakistan","39"
"Philippines","33"
"Kenya","32"
"Saudi Arabia","27"
"United Arab Emirates","26"
"Bangladesh","25"
"Israel","25"
"Argentina","23"
"Kazakhstan","22"
"Viet Nam","20"
"Bulgaria","18"
"Cyprus","18"
"Tunisia","18"
"Venezuela","18"
"Botswana","16"
"Ghana","16"
"Peru","15"
"Morocco","14"
"Oman","14"
"Sri Lanka","13"
"Tanzania","12"
"Costa Rica","11"
"Ethiopia","11"
"Georgia","10"
"Malta","10"
"Cameroon","9"
"Fiji","9"
"Lebanon","9"
"Nepal","9"
"Senegal","9"
"Trinidad and Tobago","9"
"Zimbabwe","9"
"Cuba","8"
"Ecuador","8"
"Uganda","8"
"Jamaica","6"
"Jordan","6"
"Kuwait","6"
"Luxembourg","6"
"Macao","6"
"Madagascar","6"
"Malawi","6"
"Sudan","6"
"Armenia","5"
"Burkina Faso","5"
"Cambodia","5"
"Cote d'Ivoire","5"
"Estonia","5"
"Iceland","5"
"Macedonia","5"
"Mauritius","5"
"Palestine","5"
"Uzbekistan","5"
"Albania","4"
"Bahrain","4"
"Laos","4"
"Mali","4"
"Azerbaijan","3"
"Bosnia and Herzegovina","3"
"French Polynesia","3"
"Mozambique","3"
"Angola","2"
"Barbados","2"
"Bhutan","2"
"Bolivia","2"
"Guyana","2"
"Honduras","2"
"Liechtenstein","2"
"Namibia","2"
"Nicaragua","2"
"Papua New Guinea","2"
"Puerto Rico","2"
"Qatar","2"
"Swaziland","2"
"Uruguay","2"
"Vanuatu","2"
"Belarus","1"
"Benin","1"
"Brunei Darussalam","1"
"Burundi","1"
"Congo","1"
"Dominican Republic","1"
"El Salvador","1"
"Gabon","1"
"Greenland","1"
"Guatemala","1"
"Iraq","1"
"Kyrgyzstan","1"
"Moldova","1"
"Monaco","1"
"Mongolia","1"
"Montenegro","1"
"Myanmar","1"
"Niger","1"
"Panama","1"
"Paraguay","1"
"Reunion","1"
"Saint Lucia","1"
"Suriname","1"
"Togo","1"
"Yugoslavia","1"
"Zambia","1"
"Undefined","339"
