Scopus-4533-Analyze-Country

"Your query : (AUTHKEY(""water management"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 4533

"COUNTRY/TERRITORY",
"United States","1178"
"China","341"
"Netherlands","332"
"Australia","317"
"Germany","301"
"United Kingdom","287"
"France","223"
"Canada","208"
"Spain","205"
"Italy","176"
"India","170"
"Japan","142"
"Brazil","128"
"South Korea","81"
"Greece","77"
"Sweden","76"
"South Africa","73"
"Mexico","70"
"Iran","59"
"Switzerland","59"
"Poland","56"
"Taiwan","53"
"Belgium","51"
"Thailand","44"
"Turkey","44"
"Portugal","42"
"Sri Lanka","41"
"Austria","40"
"Israel","40"
"Slovenia","40"
"New Zealand","35"
"Russian Federation","34"
"Hungary","33"
"Egypt","32"
"Denmark","30"
"Czech Republic","26"
"Malaysia","26"
"Romania","26"
"Uzbekistan","25"
"Norway","24"
"Jordan","22"
"Bangladesh","20"
"Singapore","20"
"Ethiopia","19"
"Finland","19"
"Ghana","18"
"Hong Kong","18"
"Pakistan","18"
"Saudi Arabia","18"
"Chile","16"
"Croatia","16"
"Philippines","16"
"Argentina","15"
"Indonesia","15"
"Tunisia","14"
"Colombia","13"
"Tanzania","13"
"Ireland","12"
"Viet Nam","12"
"Morocco","11"
"Nigeria","11"
"Algeria","10"
"Serbia","10"
"United Arab Emirates","10"
"Lebanon","9"
"Nepal","9"
"Ukraine","9"
"Kenya","8"
"Kuwait","8"
"Palestine","8"
"Zimbabwe","8"
"Benin","7"
"Botswana","7"
"Burkina Faso","7"
"Mali","7"
"Slovakia","7"
"Ecuador","6"
"Laos","6"
"Cyprus","5"
"Kazakhstan","5"
"Lithuania","5"
"Albania","4"
"Cambodia","4"
"Luxembourg","4"
"Macedonia","4"
"New Caledonia","4"
"Peru","4"
"Senegal","4"
"Sudan","4"
"Syrian Arab Republic","4"
"Bolivia","3"
"Bulgaria","3"
"Estonia","3"
"Mozambique","3"
"Niger","3"
"Oman","3"
"Costa Rica","2"
"Iraq","2"
"Montenegro","2"
"Rwanda","2"
"Swaziland","2"
"Uruguay","2"
"Venezuela","2"
"Zambia","2"
"Afghanistan","1"
"Bahrain","1"
"Barbados","1"
"Belarus","1"
"Belize","1"
"Bhutan","1"
"Cameroon","1"
"Chad","1"
"Cuba","1"
"Guam","1"
"Kyrgyzstan","1"
"Latvia","1"
"Mauritania","1"
"Moldova","1"
"Mongolia","1"
"Nicaragua","1"
"Puerto Rico","1"
"Qatar","1"
"Tajikistan","1"
"Togo","1"
"Trinidad and Tobago","1"
"Turkmenistan","1"
"Uganda","1"
"Yemen","1"
"Undefined","95"
