"","Authors","Title","Year","Cited.by","Affiliations","EID"
"1","Napoli C., Dente M.G., Kärki T., Riccardo F., Rossi P., Declich S.","Screening for infectious diseases among newly arrived migrants: Experiences and practices in Non-EU countries of the Mediterranean basin and black sea",2015,NA,"National Centre for Epidemiology, Surveillance and Health Promotion, National Institute of Health (Istituto Superiore di Sanità, ISS), viale Regina Elena 299, Rome, Italy; European Centre for Disease Prevention and Control (ECDC), Tomtebodavägen 11a, Stockholm, Sweden; DG Communication and European and International Relations—Italian Ministry of Health, Lungotevere Ripa 1, Rome, Italy; National Institute of Health, Istituto Superiore di Sanità, ISS, viale Regina Elena 299, Rome, Italy","2-s2.0-84949255768"
"2","Taran K.V., Svechnikova N.V., Buslaev S.I.","The activities of All-Russian Peasant Union on the Black Sea Province during the first Russian revolution",2015,NA,"International Network Center for Fundamental and Applied Research, Russian Federation; Plekhanov Russian University of Economics, Stremyanny lane, 36, Moscow, Russian Federation; Financial University under the Government of the Russian Federation, Shcherbakovskaya street, 38, Moscow, Russian Federation","2-s2.0-84955262829"
"3","Polyakova L.G., Ageeva V.A., Balaniuk L.L.","The evolution of public views of the Black Sea province during the First World War",2015,NA,"International Network Center for Fundamental and Applied Research, Russian Federation; Taganrog Institute Named after A.P. Chekhov, Branch of the Rostov State University of Economics (RINH), 46, Initsiativnaya Street, Taganrog, Rostov Region, Russian Federation; Plekhanov Russian University of Economics, Stremyanny lane, 36, Moscow, Russian Federation","2-s2.0-84955285015"
"4","Necmioglu O., Özel N.M.","Earthquake Scenario-Based Tsunami Wave Heights in the Eastern Mediterranean and Connected Seas",2015,NA,"Kandilli Observatory and Earthquake Research Institute, Bogaziçi University, Istanbul, Turkey","2-s2.0-84948126279"
"5","Sirkova I.","Duct occurrence and characteristics for Bulgarian Black sea shore derived from ECMWF data",2015,NA,"Institute of Electronics, Bulgarian Academy of Sciences, 72 Tzarigradsko chaussee, Sofia, Bulgaria","2-s2.0-84945411795"
"6","Özer A., Güneyda<U+0287> S.","Seasonality and host-parasite interrelationship of Mytilus galloprovincialis parasites in Turkish Black Sea coasts",2015,NA,"Faculty of Fisheries and Aquatic Sciences, Sinop University, Sinop, Turkey","2-s2.0-84951569330"
"7","Mityagina M., Lavrova O.","Satellite monitoring of the Black Sea surface pollution",2015,NA,"Space Research Institute, Russian Academy of Sciences, Profsoyuznaya str. 84/32, Moscow, Russian Federation","2-s2.0-84962572655"
"8","Xing J., Spiess V.","Shallow gas transport and reservoirs in the vicinity of deeply rooted mud volcanoes in the central Black Sea",2015,NA,"Department of Geosciences, University of Bremen, Bremen, Germany; Department of Marine Geosciences, Ocean University of China, Qingdao, China","2-s2.0-84939447057"
"9","Malakhova T.V., Kanapatskii T.A., Egorov V.N., Malakhova L.V., Artemov Y.G., Evtushenko D.B., Gulin S.B., Pimenov N.V.","Microbial processes and genesis of methane gas jets in the coastal areas of the Crimean Peninsula",2015,NA,"Kovalevsky Institute of Marine Biological Research, Russian Academy of Sciences, Sevastopol, Russian Federation; Winogradsky Institute of Microbiology, Research Center of Biotechnology, Russian Academy of Sciences, Moscow, Russian Federation","2-s2.0-84948126684"
"10","Koçak M., Mihalopoulos N., Tutsak E., Theodosi C., Zarmpas P., Kalegeri P.","PM10 and PM2.5 composition over the Central Black Sea: origin and seasonal variability",2015,2,"Institute of Marine Sciences, Middle East Technical University, P.O. Box 28, Erdemli, Mersin, Turkey; Department of Chemistry, University of Crete, P.O. Box 2208, Heraklion, Crete, Greece; National Observatory of Athens, IERSD, Lofos Koufou, Penteli, Greece","2-s2.0-84947594169"
"11","Mirzoyeva N., Gulina L., Gulin S., Plotitsina O., Stetsuk A., Arkhipova S., Korkishko N., Eremin O.","Radionuclides and mercury in the salt lakes of the Crimea",2015,1,"Institute of Biology of the Southern Seas (IBSS), Sevastopol, the Crimea, Russian Federation","2-s2.0-84946131377"
"12","Matveeva T.A., Gushchina D.Y., Zolina O.G.","Large-scale indicators of extreme precipitation in coastal natural-economic zones of the European part of Russia",2015,NA,"Lomonosov Moscow State University, GSP-1, Leninskie Gory, Moscow, Russian Federation; Shirshov Institute of Oceanology, Russian Academy of Sciences, Nakhimovskiipr. 36, Moscow, Russian Federation","2-s2.0-84949479698"
