City, County, CountyCode
Adjud,Vrancea,VN
Aiud, Alba, AB
Alba Iulia, Alba, AB
Alexandria,Teleorman,TR
Arad,Arad,AR
Bacau,Bacau,BC
Baia Mare,Maramures,MM
Barlad,Vaslui,VS
Balotesti,Ilfov,IF
Balanesti,Gorj,GJ
Bistrita,Bistria Nasaud,BN
Blaj, Alba, AB
Botosani,Botosani,BT
Braila,Braila,BR
Brasov,Brasov,BV
Bucuresti,Bucuresti,B
Bucarest,Bucuresti,B
Bukarest,Bucuresti,B
Bucharest,Bucuresti,B
Buzau,Buzau,BZ
Buftea,Ilfov,IF
Calafat,Dolj,DJ
Calarasi,Calarasi,CL
Campia Turzii,Cluj,CJ
Campina,Prahova,PH
Campulung,Arges,AG
Campulung Moldovenesc,Suceava,SV
Caracal,Olt,OT
Caransebes,Caras Severin,CS
Carei,Satu Mare,SM
Chisinau,Republica Moldova,MD
Cluj Napoca,Cluj,CJ
Codlea,Brasov,BV
Constanta,Constanta,CT
Constantza,Constanta,CT
Craiova,Dolj,DJ
Curtea de Arges,Arges,AG
Dabuleni,Dolj,DJ
Dambovita,Dambovita,DB
Dej,Cluj,CJ
Deva,Hunedoara,HD
Dragasani,Valcea,VL
Drobeta-Turnu Severin,Mehedinti,MH
Fagaras,Brasov,BV
Falticeni,Suceava,SV
Fetesti,Ialomita,IL
Focsani,Vrancea,VN
Fundulea,Calarasi,CL
Galati,Galati,GL
Gheorgheni,Harghita,HR
Gherla,Cluj,CJ
Giurgiu,Giurgiu,GR
Hunedoara,Hunedoara,HD
Husi,Vaslui,VS
Iasi,Iasi,IS
Iassy,Iasi,IS
Ilfov,Ilfov,IF
Jidvei,Alba,AB
Lugoj,Timis,TM
Mangalia,Constanta,CT
Marghita,Bihor ,BH
Magurele,Ilfov,IF
Medgidia,Constanta,CT
Medias,Sibiu,SB
Miercurea Ciuc,Harghita,HR
Moinesti,Bacau,BC
Moreni,Dambovita,DB
Motru,Gorj,GJ
Murfatlar,Constanta,CT
Odorheiu Secuiesc,Harghita,HR
Oltenita,Calarasi,CL
Onesti,Bacau,BC
Oradea,Bihor ,BH
Orastie,Hunedoara,HD
Orsova,Mehedinti,MH
Otopeni,Ilfov,IF
Pascani,Iasi,IS
Petrosani,Hunedoara,HD
Piatra Neamt,Neamt,NT
Pitesti,Arges,AG
Ploiesti,Prahova,PH
Radauti,Suceava,SV
Ramnicu Sarat,Buzau,BZ
Ramnicu Valcea,Valcea,VL
Reghin,Mures,MS
Resita,Caras Severin,CS
Roman,Neamt,NT
Rosiorii de Vede,Teleorman,TR
Satu Mare,Satu Mare,SM
Sebes, Alba, AB
Sfantu Gheorghe,Covasna,CV
Sibiu,Sibiu,SB
Sighetu Marmatiei,Maramures,MM
Sighisoara,Mures,MS
Simeria,Hunedoara,HD
Slatina,Olt,OT
Slobozia,Ialomita,IL
Suceava,Suceava,SV
Targoviste,Dambovita,DB
Targu Jiu,Gorj,GJ
Targu Mures,Mures,MS
Targu Secuiesc,Covasna,CV
Tancabesti,Ilfov,IF
Tecuci,Galati,GL
Timisoara,Timis,TM
Toplita,Harghita,HR
Tulcea,Tulcea,TL
Turda,Cluj,CJ
Turnu Magurele,Teleorman,TR
Urziceni,Ialomita,IL
Vaslui,Vaslui,VS
Valea Calugareasca,Prahova,PH
Vatra Dornei,Suceava,SV
Voinesti,Dambovita,DB
Voluntari,Ilfov,IF
Zalau,Salaj,SJ
