Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Napoli, C., Dente, M.G., Kärki, T., Riccardo, F., Rossi, P., Declich, S.","Screening for infectious diseases among newly arrived migrants: Experiences and practices in Non-EU countries of the Mediterranean basin and black sea",2015,"International Journal of Environmental Research and Public Health","12","12",,"15550","15558",,,10.3390/ijerph121215002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949255768&partnerID=40&md5=4c8d4327cd271f2f7773d09cab2e7b96",Article,Scopus,2-s2.0-84949255768
"Taran, K.V., Svechnikova, N.V., Buslaev, S.I.","The activities of All-Russian Peasant Union on the Black Sea Province during the first Russian revolution",2015,"Bylye Gody","38","4",,"1053","1061",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955262829&partnerID=40&md5=77de6c6ebec15ac609f644b4bda78e93",Review,Scopus,2-s2.0-84955262829
"Polyakova, L.G., Ageeva, V.A., Balaniuk, L.L.","The evolution of public views of the Black Sea province during the First World War",2015,"Bylye Gody","38","4",,"1093","1104",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955285015&partnerID=40&md5=ef25900d1194063a76c16ef692be0444",Review,Scopus,2-s2.0-84955285015
"Necmioglu, O., Özel, N.M.","Earthquake Scenario-Based Tsunami Wave Heights in the Eastern Mediterranean and Connected Seas",2015,"Pure and Applied Geophysics","172","12",,"3617","3638",,,10.1007/s00024-015-1069-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948126279&partnerID=40&md5=078ab89fda5706b75e6997ead96e5fed",Article,Scopus,2-s2.0-84948126279
"Sirkova, I.","Duct occurrence and characteristics for Bulgarian Black sea shore derived from ECMWF data",2015,"Journal of Atmospheric and Solar-Terrestrial Physics","135",,,"107","117",,,10.1016/j.jastp.2015.10.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945411795&partnerID=40&md5=77f70131ae57e919ed79ed2efcc29354",Article,Scopus,2-s2.0-84945411795
"Özer, A., Güneydaʇ, S.","Seasonality and host-parasite interrelationship of Mytilus galloprovincialis parasites in Turkish Black Sea coasts",2015,"Journal of the Marine Biological Association of the United Kingdom","95","8",,"1591","1599",,,10.1017/S0025315415000740,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951569330&partnerID=40&md5=17167037df65efb471ff55fabbe95682",Conference Paper,Scopus,2-s2.0-84951569330
"Mityagina, M., Lavrova, O.","Satellite monitoring of the Black Sea surface pollution",2015,"International Geoscience and Remote Sensing Symposium (IGARSS)","2015-November",, 7326265,"2291","2294",,,10.1109/IGARSS.2015.7326265,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962572655&partnerID=40&md5=20032fdc7241cf9a5d586de4416d852a",Conference Paper,Scopus,2-s2.0-84962572655
"Xing, J., Spiess, V.","Shallow gas transport and reservoirs in the vicinity of deeply rooted mud volcanoes in the central Black Sea",2015,"Marine Geology","369",,,"67","78",,,10.1016/j.margeo.2015.08.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939447057&partnerID=40&md5=85488518c2997105ac31cdc1fdc69732",Article,Scopus,2-s2.0-84939447057
"Malakhova, T.V., Kanapatskii, T.A., Egorov, V.N., Malakhova, L.V., Artemov, Y.G., Evtushenko, D.B., Gulin, S.B., Pimenov, N.V.","Microbial processes and genesis of methane gas jets in the coastal areas of the Crimean Peninsula",2015,"Microbiology (Russian Federation)","84","6",,"838","845",,,10.1134/S0026261715060053,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948126684&partnerID=40&md5=80a5195f283f0684a26867e50e3ac9ef",Article,Scopus,2-s2.0-84948126684
"Koçak, M., Mihalopoulos, N., Tutsak, E., Theodosi, C., Zarmpas, P., Kalegeri, P.","PM<inf>10</inf> and PM<inf>2.5</inf> composition over the Central Black Sea: origin and seasonal variability",2015,"Environmental Science and Pollution Research","22","22",,"18076","18092",,2,10.1007/s11356-015-4928-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947594169&partnerID=40&md5=48012814523236b3cd7cee788a4c9391",Article,Scopus,2-s2.0-84947594169
