Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Owen, M.J.","An Unexpected Connection Between Cruising and Glassblowing",2015,"Silicon",,,,"1","2",,,10.1007/s12633-015-9392-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949947314&partnerID=40&md5=ae2487d6fcb04b97d5a15f59efce680e",Article in Press,Scopus,2-s2.0-84949947314
"Vigiak, O., Malagó, A., Bouraoui, F., Vanmaercke, M., Poesen, J.","Adapting SWAT hillslope erosion model to predict sediment concentrations and yields in large Basins",2015,"Science of the Total Environment","538",,,"855","875",,,10.1016/j.scitotenv.2015.08.095,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941143635&partnerID=40&md5=3c5d0b1a200c582a9d5034d8bb89a843",Article,Scopus,2-s2.0-84941143635
"Lindim, C., Cousins, I.T., Vangils, J.","Estimating emissions of PFOS and PFOA to the Danube River catchment and evaluating them using a catchment-scale chemical transport and fate model",2015,"Environmental Pollution","207",,,"97","106",,3,10.1016/j.envpol.2015.08.050,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941655355&partnerID=40&md5=36ef8fed86f023606438c6eb58e398af",Article,Scopus,2-s2.0-84941655355
"Žganec, K., Ćuk, R., Dekić, S.","New records of the invasive amphipod Echinogammarus ischnus (Stebbing, 1899) in Croatia [Nalazi invazivnog rakušca Echinogammarus ischnus (Stebbing, 1899) u Hrvatskoj]",2015,"Natura Croatica","24","2",,"247","254",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952646542&partnerID=40&md5=4a2b7d59321e71ede286883ff7ebbd0d",Article,Scopus,2-s2.0-84952646542
"Micić, V., Köster, J., Kruge, M.A., Engelen, B., Hofmann, T.","Bacterial wax esters in recent fluvial sediments",2015,"Organic Geochemistry","89-90",,,"44","55",,,10.1016/j.orggeochem.2015.10.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946411522&partnerID=40&md5=fe6bb21cc9cda3785001a014bff29435",Article,Scopus,2-s2.0-84946411522
"Asadi, P., Davison, A.C., Engelke, S.","Extremes on river networks",2015,"Annals of Applied Statistics","9","4",,"2023","2050",,,10.1214/15-AOAS863,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960386645&partnerID=40&md5=fc1bd4806fc6dfec186c2c306b0a98c2",Article,Scopus,2-s2.0-84960386645
"Voza, D., Vukovic, M., Takic, L., Nikolic, D., Mladenovic-Ranisavljevic, I.","Application of multivariate statistical techniques in the water quality assessment of Danube river, Serbia",2015,"Archives of Environmental Protection","41","4",,"96","103",,,10.1515/aep-2015-0044,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953222764&partnerID=40&md5=0e10cdbb72b6569fbf7bdffd29c3ae5a",Article,Scopus,2-s2.0-84953222764
"Radović, T., Grujić, S., Petković, A., Dimkić, M., Laušević, M.","Determination of pharmaceuticals and pesticides in river sediments and corresponding surface and ground water in the Danube River and tributaries in Serbia",2015,"Environmental Monitoring and Assessment","187","1",,"","",17,1,10.1007/s10661-014-4092-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957417279&partnerID=40&md5=e24d87381aa67149f15910d9f287d9d8",Article,Scopus,2-s2.0-84957417279
"Ionescu, P., Radu, V.-M., Diacu, E.","Sediments as indicators of heavy metal contamination in the lower Danube River",2015,"Revista de Chimie","66","11",,"1725","1727",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954547077&partnerID=40&md5=6df41aa232b8cf255adf6f6b276a6a6b",Article,Scopus,2-s2.0-84954547077
"Chitescu, C.L., Kaklamanos, G., Nicolau, A.I., Stolker, A.A.M.L.","High sensitive multiresidue analysis of pharmaceuticals and antifungals in surface water using U-HPLC-Q-Exactive Orbitrap HRMS. Application to the Danube river basin on the Romanian territory",2015,"Science of the Total Environment","532",,,"501","511",,7,10.1016/j.scitotenv.2015.06.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935011486&partnerID=40&md5=0796c8952fb2ad956e14858a525281c3",Article,Scopus,2-s2.0-84935011486
"Huerga, R.","Puente sobre el Danubio Vidin-Calafat (Bulgaria)",2015,"Revista de Obras Publicas","162","3570",,"77","82",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978083315&partnerID=40&md5=f0e22981850141b79bf430d5661ee791",Article,Scopus,2-s2.0-84978083315
"Moog, O., Stubauer, I., Haimann, M., Habersack, H., Leitner, P.","Effects of harbour excavating and dredged sediment disposal on the benthic invertebrate fauna of River Danube (Austria)",2015,"Hydrobiologia",,,,"","",12,,10.1007/s10750-015-2476-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945552450&partnerID=40&md5=bab5c6bbe38a32ce1f2d99d31d396b1f",Article in Press,Scopus,2-s2.0-84945552450
"Jelić, M., Patenković, A., Skorić, M., Mišić, D., Kurbalija Novičić, Z., Bordács, S., Várhidi, F., Vasić, I., Benke, A., Frank, G., Šiler, B.","Indigenous forests of European black poplar along the Danube River: genetic structure and reliable detection of introgression",2015,"Tree Genetics and Genomes","11","5", 89,"","",14,2,10.1007/s11295-015-0915-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940503288&partnerID=40&md5=d500e638405d4413911b45d8b24f7f58",Article,Scopus,2-s2.0-84940503288
"Rieger, I., Kowarik, I., Cierjacks, A., Pan, Y.","Drivers of carbon sequestration by biomass compartment of Riparian forests",2015,"Ecosphere","6","10", 185,"","",,,10.1890/ES14-00330.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947075108&partnerID=40&md5=6e147bda63f8dcd4a97241d7572dbadd",Article,Scopus,2-s2.0-84947075108
"Niculescu, S., Lardeux, C., Hanganu, J., Mercier, G., David, L.","Change detection in floodable areas of the Danube delta using radar images",2015,"Natural Hazards","78","3",,"1899","1916",,,10.1007/s11069-015-1809-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938991206&partnerID=40&md5=b28368c93d620675a92dba0090df305a",Article,Scopus,2-s2.0-84938991206
"Ilijević, K., Obradović, M., Jevremović, V., Gržetić, I.","Statistical analysis of the influence of major tributaries to the eco-chemical status of the Danube River",2015,"Environmental Monitoring and Assessment","187","9", 553,"","",25,1,10.1007/s10661-015-4740-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938598310&partnerID=40&md5=dcef80f6924713ca287052e902d70e35",Article,Scopus,2-s2.0-84938598310
