Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Findeisen, P., Hoffmann, G., Kiehntopf, M., Klein, H.-G., Ceglarek, U., Teupser, D.","Report on the 14th Annual Meeting of the Section of Molecular Diagnostics of the German Society of Clinical Chemistry and Laboratory Medicine (DGKL), 11th/12th June 2015 in Tutzing [14. Jahrestagung der Sektion Molekulare Diagnostik der DGKL am 11. und 12. Juni 2015 in der Evangelischen Akademie Tutzing]",2015,"LaboratoriumsMedizin","39","6",,"443","451",,,10.1515/labmed-2015-0096,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949641456&partnerID=40&md5=b17218594dd308b0ed475dc51d542991",Conference Paper,Scopus,2-s2.0-84949641456
"Tupasela, A., Snell, K., Cañada, J.A.","Constructing populations in biobanking",2015,"Life Sciences, Society and Policy","11","1", 5,"","",,,10.1186/s40504-015-0024-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975687466&partnerID=40&md5=f672dc3ba03c7b0e36e687296d3051f3",Article,Scopus,2-s2.0-84975687466
"Baylis, F., Widdows, H.","Human embryos and eggs: from long-term storage to biobanking",2015,"Monash bioethics review","33","4",,"340","359",,,10.1007/s40592-015-0045-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973442686&partnerID=40&md5=8559f94c3cbf0f4c9ae550e4b860c455",Article,Scopus,2-s2.0-84973442686
"Stephens, N., Dimond, R.","Unexpected tissue and the biobank that closed: an exploration of value and the momentariness of bio-objectification processes",2015,"Life Sciences, Society and Policy","11","1", 14,"","",,,10.1186/s40504-015-0032-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975677640&partnerID=40&md5=f96b2608725db2d7ad67194d2d134901",Article,Scopus,2-s2.0-84975677640
"Hurlbut, J.B.","Promising waste: biobanking, embryo research, and infrastructures of ethical efficiency",2015,"Monash bioethics review","33","4",,"301","324",,,10.1007/s40592-015-0051-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973459118&partnerID=40&md5=8c9919def24cd5d70f00d36e464a75d9",Article,Scopus,2-s2.0-84973459118
"Torres, S., de la Riva, E.E., Tom, L.S., Clayman, M.L., Taylor, C., Dong, X., Simon, M.A.","The Development of a Communication Tool to Facilitate the Cancer Trial Recruitment Process and Increase Research Literacy among Underrepresented Populations",2015,"Journal of Cancer Education","30","4",,"792","798",,,10.1007/s13187-015-0818-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944510713&partnerID=40&md5=9b1a3cb4fbb95bbefc178b27e8ec5bad",Article,Scopus,2-s2.0-84944510713
"Lal, S., Li, A., Allen, D., Allen, P.D., Bannon, P., Cartmill, T., Cooke, R., Farnsworth, A., Keogh, A., dos Remedios, C.","Best practice BioBanking of human heart tissue",2015,"Biophysical Reviews","7","4",,"399","406",,,10.1007/s12551-015-0182-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948453724&partnerID=40&md5=5853a319098105b4516bf165332c33af",Review,Scopus,2-s2.0-84948453724
"Noor, A.M., Holmberg, L., Gillett, C., Grigoriadis, A.","Big Data: The challenge for small research groups in the era of cancer genomics",2015,"British Journal of Cancer","113","10",,"1405","1412",,,10.1038/bjc.2015.341,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947494512&partnerID=40&md5=2eee66db9ce359ae965877c1132f4302",Article,Scopus,2-s2.0-84947494512
"Ngo, C., Samuels, S., Bagrintseva, K., Slocker, A., Hupé, P., Kenter, G., Popovic, M., Samet, N., Tresca, P., von der Leyen, H., Deutsch, E., Rouzier, R., Belin, L., Kamal, M., Scholl, S.","From prospective biobanking to precision medicine: BIO-RAIDs - an EU study protocol in cervical cancer",2015,"BMC Cancer","15","1", 842,"","",,,10.1186/s12885-015-1801-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946214063&partnerID=40&md5=bb601730cac4d39ab216498879723858",Article,Scopus,2-s2.0-84946214063
"Riondino, S., Ferroni, P., Spila, A., Alessandroni, J., D'Alessandro, R., Formica, V., Della-Morte, D., Palmirotta, R., Nanni, U., Roselli, M., Guadagni, F.","Ensuring sample quality for biomarker discovery studies - Use of ict tools to trace biosample life-cycle",2015,"Cancer Genomics and Proteomics","12","6",,"291","300",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948776147&partnerID=40&md5=561a886e200050447a8e195c0f688c94",Review,Scopus,2-s2.0-84948776147
"Quinlan, P.R., Gardner, S., Groves, M., Emes, R., Garibaldi, J.","A data-centric strategy for modern biobanking",2015,"Biobanking in the 21st Century",,,,"165","169",,,10.1007/978-3-319-20579-3_13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955727973&partnerID=40&md5=474254f1d382d02c3a025b5ce3e97269",Book Chapter,Scopus,2-s2.0-84955727973
