Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kulkarni, T., Gupta, D., Slaughter, G.","An enzymatic glucose biofuel cell based on Au nano-electrode array",2015,"2015 IEEE SENSORS - Proceedings",,, 7370101,,,,,10.1109/ICSENS.2015.7370101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963492721&partnerID=40&md5=bf7061b1b26b0b211ff9e8f06b6cd102",Conference Paper,Scopus,2-s2.0-84963492721
"Kim, H.S., Guzman, A.R., Sobahi, N., Thapa, H.R., Devarenne, T.P., Han, A.","High-throughput droplet-based screening system for investigating microalgae library",2015,"2015 IEEE SENSORS - Proceedings",,, 7370495,,,,,10.1109/ICSENS.2015.7370495,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963623489&partnerID=40&md5=40440c89630a4df086c41aa7e54df594",Conference Paper,Scopus,2-s2.0-84963623489
"Ling, H., Pratomo Juwono, N.K., Teo, W.S., Liu, R., Leong, S.S.J., Chang, M.W.","Engineering transcription factors to improve tolerance against alkane biofuels in Saccharomyces cerevisiae",2015,"Biotechnology for Biofuels",8,1, 231,,,,,10.1186/s13068-015-0411-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84952305527&partnerID=40&md5=bdfd77fdb5f80ed83b6ae9cc4c90ea99",Article,Scopus,2-s2.0-84952305527
"Jiang, Y., Jin, S., Zhang, Y., Geng, N.","Study on one subsidy model for biofuel supply chain coordination",2015,"10th IEEE Int. Conf. on Service Operations and Logistics, and Informatics, SOLI 2015 - In conjunction with ICT4ALL 2015",,, 7367601,106,109,,,10.1109/SOLI.2015.7367601,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963526710&partnerID=40&md5=2e566230adef4fda78d2e3ac6ca221c6",Conference Paper,Scopus,2-s2.0-84963526710
"Moheimani, N.R.","Tetraselmis suecica culture for CO<inf>2</inf> bioremediation of untreated flue gas from a coal-fired power station",2015,"Journal of Applied Phycology",,,,1,8,,1,10.1007/s10811-015-0782-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951755112&partnerID=40&md5=624e0ffafd241f519fde08681755a2fd",Article in Press,Scopus,2-s2.0-84951755112
"Money, N.P.","Fungi and Biotechnology",2015,"The Fungi: Third Edition",,,,401,424,,,10.1016/B978-0-12-382034-1.00012-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960802151&partnerID=40&md5=b3fadc5c68d048d3f71d1fe0bc42dae6",Book Chapter,Scopus,2-s2.0-84960802151
"Zhao, X., Wei, L., Cheng, S., Julson, J.","Optimization of catalytic cracking process for upgrading camelina oil to hydrocarbon biofuel",2015,"Industrial Crops and Products",77,,,516,526,,4,10.1016/j.indcrop.2015.09.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942785318&partnerID=40&md5=4940540abe0dfec0b45011b4070c16c6",Article,Scopus,2-s2.0-84942785318
"Deng, Q., Han, P., Xu, J., Zou, J.-J., Wang, L., Zhang, X.","Highly controllable and selective hydroxyalkylation/alkylation of 2-methylfuran with cyclohexanone for synthesis of high-density biofuel",2015,"Chemical Engineering Science",138,,,239,243,,1,10.1016/j.ces.2015.08.025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941056112&partnerID=40&md5=b74787a5883a1e2b40934de2d3a9b5a8",Article,Scopus,2-s2.0-84941056112
"Peiru, S., Aguirre, A., Eberhardt, F., Braia, M., Cabrera, R., Menzella, H.G.","An industrial scale process for the enzymatic removal of steryl glucosides from biodiesel",2015,"Biotechnology for Biofuels",8,1, 223,,,,,10.1186/s13068-015-0405-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955361307&partnerID=40&md5=b5995c8f64c7bc4b8357c1bf3d74fbe4",Article,Scopus,2-s2.0-84955361307
"Walker, J.A., Takasuka, T.E., Deng, K., Bianchetti, C.M., Udell, H.S., Prom, B.M., Kim, H., Adams, P.D., Northen, T.R., Fox, B.G.","Multifunctional cellulase catalysis targeted by fusion to different carbohydrate-binding modules",2015,"Biotechnology for Biofuels",8,1, 220,,,,,10.1186/s13068-015-0402-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954026770&partnerID=40&md5=0d23d170bdd1485f5668450b068a792e",Article,Scopus,2-s2.0-84954026770
