Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Valerio, O., Horvath, T., Pond, C., Misra, M., Mohanty, A.","Improved utilization of crude glycerol from biodiesel industries: Synthesis and characterization of sustainable biobased polyesters",2015,"Industrial Crops and Products",78,,,141,147,,2,10.1016/j.indcrop.2015.10.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945932559&partnerID=40&md5=8e887286f0a3a4339deee893a77b050b",Article,Scopus,2-s2.0-84945932559
"Ademović, Z., Salber, J., Klee, D.","Interaction of insulin and polymer surface investigated by surface-MALDI-TOF-mass spectrometry",2015,"Croatica Chemica Acta",88,3,,213,219,,,10.5562/cca2519,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954153496&partnerID=40&md5=00d97ec5bb2cd766fd73a111edeb729d",Article,Scopus,2-s2.0-84954153496
"Rabiee, S.M., Nazparvar, N., Rajabi, M.","Structural Behavior and In Vitro Bioactivity Evaluation of Sol-Gel Derived Glass-Ceramics Based on SiO<inf>2</inf>- CaO- P<inf>2</inf>O<inf>5</inf>- ZnO System",2015,"Silicon",,,,1,9,,,10.1007/s12633-015-9364-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84952012228&partnerID=40&md5=e70b283b6b4e4189ae9e24bf7579b0c6",Article in Press,Scopus,2-s2.0-84952012228
"Coburn, J.M., Na, E., Kaplan, D.L.","Modulation of vincristine and doxorubicin binding and release from silk films",2015,"Journal of Controlled Release",220,,,229,238,,3,10.1016/j.jconrel.2015.10.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945900154&partnerID=40&md5=749d75ae4c6a44d48b722e3c7417dfeb",Article,Scopus,2-s2.0-84945900154
"Cheng, X., Jin, Y., Qi, R., Fan, B., Li, H.","Stimuli-responsive degradable polymeric hydrogels",2015,"Progress in Chemistry",27,12,,1784,1798,,,10.7536/PC150629,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951780255&partnerID=40&md5=743fd8239de2b135524ff286345eb509",Review,Scopus,2-s2.0-84951780255
"Park, S.-H., Koh, U.H., Yang, D.-Y., Lee, N.-K., Shin, J.H.","Development of 3D printed biomimetic scaffold for tissue engineering",2015,"ICCAS 2015 - 2015 15th International Conference on Control, Automation and Systems, Proceedings",,, 7364687,1958,1960,,,10.1109/ICCAS.2015.7364687,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84966348703&partnerID=40&md5=4a0ac6fc1d2450d50648168d8a496f48",Conference Paper,Scopus,2-s2.0-84966348703
"Feng, H., Wang, G., Wu, G., Jin, W., Wu, H., Chu, P.K.","Plasma and ion-beam modification of metallic biomaterials for improved anti-bacterial properties",2015,"Surface and Coatings Technology",,,,,,,,10.1016/j.surfcoat.2016.05.059,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969981568&partnerID=40&md5=2937d68e74f5482112d962b74bb3c00f",Article in Press,Scopus,2-s2.0-84969981568
"Pineda, S., Borghi, F.F., Seo, D.H., Yick, S., Lawn, M., van der Laan, T., Han, Z.J., Ostrikov, K.K.","Multifunctional graphene micro-islands: Rapid, low-temperature plasma-enabled synthesis and facile integration for bioengineering and genosensing applications",2015,"Biosensors and Bioelectronics",,,,,,,,10.1016/j.bios.2016.04.072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84967225527&partnerID=40&md5=15d4e2f67813730207730a99dec9f309",Article in Press,Scopus,2-s2.0-84967225527
"Wang, Z., Abdulla, R., Parker, B., Samanipour, R., Ghosh, S., Kim, K.","A simple and high-resolution stereolithography-based 3D bioprinting system using visible light crosslinkable bioinks",2015,"Biofabrication",7,4, 045009,,,,2,10.1088/1758-5090/7/4/045009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954182752&partnerID=40&md5=b7bca7b418526e289adfe3caa6005811",Article,Scopus,2-s2.0-84954182752
"Berghaus, K.V., Yun, S.H., Scarcelli, G.","High speed sub-Ghz spectrometer for brillouin scattering analysis",2015,"Journal of Visualized Experiments",2015,106, e53468,,,,3,10.3791/53468,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84952838127&partnerID=40&md5=58568ec2fc44ab4471884920d6b30e32",Article,Scopus,2-s2.0-84952838127
"Kouroupis, D., Kyrkou, A., Triantafyllidi, E., Katsimpoulas, M., Chalepakis, G., Goussia, A., Georgoulis, A., Murphy, C., Fotsis, T.","Generation of stem cell-based bioartificial anterior cruciate ligament (ACL) grafts for effective ACL rupture repair",2015,"Stem Cell Research",,,,,,,,10.1016/j.scr.2016.04.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969528791&partnerID=40&md5=1f4ac561e58232f16689ece0a2c009d4",Article in Press,Scopus,2-s2.0-84969528791
"Cao, X., Dai, L., Wang, L., Liu, J., Lei, J.","A surfactant template-assisted strategy for synthesis of ZIF-8 hollow nanospheres",2015,"Materials Letters",161,, 19577,682,685,,,10.1016/j.matlet.2015.09.061,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942474533&partnerID=40&md5=c83f56bb8d70cb32d3260a7283200dfd",Article,Scopus,2-s2.0-84942474533
"Kim, Y., Hwang, W.","Wettability modified aluminum surface for a potential antifungal surface",2015,"Materials Letters",161,,,234,239,,,10.1016/j.matlet.2015.08.103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941341228&partnerID=40&md5=94afd6859fef260492f64c02def4a4d9",Article,Scopus,2-s2.0-84941341228
"Lu, X., Xie, Y., Han, Y., Wang, X., Dai, H., Li, S.","Ultrasound-induced albumin gelation method for the preparation of nanostructured hydroxyapatite",2015,"Materials Letters",161,,,128,131,,3,10.1016/j.matlet.2015.07.102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955479085&partnerID=40&md5=e2546058030579426d2b800ab5744861",Article,Scopus,2-s2.0-84955479085
"Li, Y., Chen, X., Ning, C., Yuan, B., Hu, Q.","Facile synthesis of mesoporous bioactive glasses with controlled shapes",2015,"Materials Letters",161,,,605,608,,1,10.1016/j.matlet.2015.09.057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941949012&partnerID=40&md5=f51a7f628886c3cd58bec1a13d35cc29",Article,Scopus,2-s2.0-84941949012
