Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dantas, J.G., Andrade, T.D.S.D.O.M., Sodré, C.F.L., Castro, J.D.S., Carvalho-Neta, R.N.F., Torres, A.R.","Morphological biomarkers in Prochilodus lineatus (pisces, prochilodontidae) for environmental impact assessment in the region of the Baixada Maranhense, Brazil",2015,"AIP Conference Proceedings",1702,, 120004,,,,,10.1063/1.4938903,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971554645&partnerID=40&md5=ef97ea44287c06f744f631e728d42571",Conference Paper,Scopus,2-s2.0-84971554645
"Andrade, T.D.S.D.O.M., Sousa, D.B.P., Dantas, J.G., Castro, J.D.S., Neta, R.N.F.C.","Oxidative stress enzyme and histopathological lesions in Colossoma macropomum (pisces, ariidae) for environmental impact assessment",2015,"AIP Conference Proceedings",1702,, 120007,,,,,10.1063/1.4938906,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971529412&partnerID=40&md5=162ccb1cb4bd243b9a98725df22d3d1d",Conference Paper,Scopus,2-s2.0-84971529412
"Yang, L.-J., Bai, T.-Z., Li, J., Li, J., Wu, D., He, Y.-B., Xu, H.-Y., Li, J.-W.","Research on environmental protection discharge fluid device for oil test of oil and gas well and its application",2015,"Well Testing",24,6,,,,65-66 and 69,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955073895&partnerID=40&md5=48536064a2a0dfb962bc5ab9ee97a104",Article,Scopus,2-s2.0-84955073895
"Jin, S., Du, J.-G., Sheng, Z.-H.","Evolutionary game analysis of regional environmental protection programme",2015,"Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice",35,12,,3107,3118,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961199101&partnerID=40&md5=69653785052da3dc9b1a782bbf34de09",Article,Scopus,2-s2.0-84961199101
"Mohan Kumar, K., Abd Rahman, A., Sambasivan, M.","Sustainable logistics: An emerging research area",2015,"2nd International Symposium on Technology Management and Emerging Technologies, ISTMET 2015 - Proceeding",,, 7359057,350,354,,,10.1109/ISTMET.2015.7359057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962326340&partnerID=40&md5=c8f2795899d82bb6a1008a2b649cf685",Conference Paper,Scopus,2-s2.0-84962326340
"Anspaugh, K.J.","State and Federal Oil and Gas Regulations",2015,"Environmental and Health Issues in Unconventional Oil and Gas Development",,,,211,223,,,10.1016/B978-0-12-804111-6.00012-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960824962&partnerID=40&md5=da40a36f6f87edbe8b85841eb0083009",Book Chapter,Scopus,2-s2.0-84960824962
"Haidar, V., Berros, M.V.","Towards a multidimensional and multi-scale approach of the ecological issue: The perspective of good living | Hacia un abordaje multidimensional y multiescalar de la cuestión ecológica: La perspectiva del buen vivir",2015,"Revista Critica de Ciencias Sociais",,108,,111,134,,,10.4000/rccs.6133,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958246023&partnerID=40&md5=553fb5cc464b3e61ee0bfe243f49283b",Article,Scopus,2-s2.0-84958246023
"Jankowski, A., Kowalski, M.","Creating mechanisms of toxic substances emission of combustion engines | Mechanizmy tworzenia toksycznych składników spalin silników spalinowych",2015,"Journal of Konbin",36,1,,33,42,,,10.1515/jok-2015-0054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976902796&partnerID=40&md5=f5251fcfb953cacbf968d156c9cd8739",Article,Scopus,2-s2.0-84976902796
"Jankowski, A., Kowalski, M.","Influence of the quality of fuel atomization on the emission of exhaust gases toxic components of combustion engines | Wpływ jakości rozpylenia paliwa na emisjȩ toksycznych składników spalin silników spalinowych",2015,"Journal of Konbin",36,1,,43,50,,,10.1515/jok-2015-0055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976892399&partnerID=40&md5=1e93094bcd5b4878d904753cadff024b",Article,Scopus,2-s2.0-84976892399
"Harvey, T.S.","Muddying the Waters: Protection, Public Participation, and Ambiguity in the Language of Pollution in the Great Lakes",2015,"Culture, Agriculture, Food and Environment",37,2,,107,115,,,10.1111/cuag.12057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949194253&partnerID=40&md5=27c6611dc787f79a4ee8439fffda2079",Article,Scopus,2-s2.0-84949194253
