Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Notaro, V., Freni, G.","Statistical analysis of the uncertainty related to flood hazard appraisal",2015,"AIP Conference Proceedings","1702",, 180010,"","",,,10.1063/1.4938959,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971552265&partnerID=40&md5=4bb6387745719390a68aa97c965fdf50",Conference Paper,Scopus,2-s2.0-84971552265
"Lendering, K.T., Jonkman, S.N., Van Gelder, P.H.A.J.M., Peters, D.J.","Risk-based optimization of land reclamation",2015,"Reliability Engineering and System Safety","144",, 5380,"1","11",,,10.1016/j.ress.2015.07.025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940208431&partnerID=40&md5=d2f6043f2a32d7218aa9955de8d7bddf",Article,Scopus,2-s2.0-84940208431
"Bierkandt, R., Auffhammer, M., Levermann, A.","US power plant sites at risk of future sea-level rise",2015,"Environmental Research Letters","10","12", 124022,"","",,,10.1088/1748-9326/10/12/124022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952905550&partnerID=40&md5=6c1881a1081371b0eb5840274ac342ec",Article,Scopus,2-s2.0-84952905550
"Xu, Y., Huang, G., Fan, Y.","Multivariate flood risk analysis for Wei River",2015,"Stochastic Environmental Research and Risk Assessment",,,,"1","18",,,10.1007/s00477-015-1196-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949955554&partnerID=40&md5=f4bb9b84220f33665cafc4cb7f3b2791",Article in Press,Scopus,2-s2.0-84949955554
"Albano, R., Mancusi, L., Sole, A., Adamowski, J.","Collaborative strategies for sustainable EU flood risk management: FOSS and geospatial tools-challenges and opportunities for operative risk analysis",2015,"ISPRS International Journal of Geo-Information","4","4",,"2704","2727",,,10.3390/ijgi4042704,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952836712&partnerID=40&md5=fc9d8be0a8e791b0a1d3a4b137b9cb42",Article,Scopus,2-s2.0-84952836712
"McGrath, H., Stefanakis, E., Nastev, M.","Sensitivity analysis of flood damage estimates: A case study in Fredericton, New Brunswick",2015,"International Journal of Disaster Risk Reduction","14",,,"379","387",,1,10.1016/j.ijdrr.2015.09.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962081674&partnerID=40&md5=7c8b273254a1a26939e94f70a4c1ae7b",Article,Scopus,2-s2.0-84962081674
"Tangney, P.","Brisbane City Council's Q100 assessment: How climate risk management becomes scientised",2015,"International Journal of Disaster Risk Reduction","14",,,"496","503",,,10.1016/j.ijdrr.2015.10.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953327841&partnerID=40&md5=7038704969684bc294221f637f01d3ca",Article,Scopus,2-s2.0-84953327841
"Surminski, S., Aerts, J.C.J.H., Botzen, W.J.W., Hudson, P., Mysiak, J., Pérez-Blanco, C.D.","Reflections on the current debate on how to link flood insurance and disaster risk reduction in the European Union",2015,"Natural Hazards","79","3",,"1451","1479",,1,10.1007/s11069-015-1832-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947046671&partnerID=40&md5=6d366459c29e67b8be110ff129865cb2",Article,Scopus,2-s2.0-84947046671
"Kalyanapu, A.J., Judi, D.R., Mcpherson, T.N., Burian, S.J.","Annualised risk analysis approach to recommend appropriate level of flood control: Application to Swannanoa river watershed",2015,"Journal of Flood Risk Management","8","4",,"368","385",,1,10.1111/jfr3.12108,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951991180&partnerID=40&md5=e69cda9dea7eedf7a86bcdcad69d04f6",Article,Scopus,2-s2.0-84951991180
"Domeneghetti, A., Gandolfi, S., Castellarin, A., Brandimarte, L., Di Baldassarre, G., Barbarella, M., Brath, A.","Flood risk mitigation in developing countries: Deriving accurate topographic data for remote areas under severe time and economic constraints",2015,"Journal of Flood Risk Management","8","4",,"301","314",,1,10.1111/jfr3.12095,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954501197&partnerID=40&md5=425f9ace60193b8f34758c05ce3bc539",Article,Scopus,2-s2.0-84954501197
"Wang, Y., Yuan, X., Yang, M.","Analysis on disastrous features and loss of typhoon storm flood in Guangdong province",2015,"International Journal of Earth Sciences and Engineering","8","6",,"3010","3016",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971393507&partnerID=40&md5=5f40a32ee45187534c74303cff974c13",Article,Scopus,2-s2.0-84971393507
"Jongman, B., Wagemaker, J., Revilla Romero, B., Coughlan De Perez, E.","Early flood detection for rapid humanitarian response: Harnessing near real-time satellite and twitter signals",2015,"ISPRS International Journal of Geo-Information","4","4",,"2246","2266",,2,10.3390/ijgi4042246,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950108393&partnerID=40&md5=d30f1a5ab9f2c2bdf439da871d0ba204",Article,Scopus,2-s2.0-84950108393
"Haraguchi, M., Lall, U.","Flood risks and impacts: A case study of Thailand's floods in 2011 and research questions for supply chain decision making",2015,"International Journal of Disaster Risk Reduction","14",,,"256","272",,5,10.1016/j.ijdrr.2014.09.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927632031&partnerID=40&md5=5822127edfce7a8d6732e0bfe0e521d9",Article,Scopus,2-s2.0-84927632031
"Lee, S., Vink, K.","Assessing the vulnerability of different age groups regarding flood fatalities: Case study in the Philippines",2015,"Water Policy","17","6",,"1045","1061",,,10.2166/wp.2015.089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955504684&partnerID=40&md5=3876d72e1e436fcc6baf2e3a950304b7",Article,Scopus,2-s2.0-84955504684
"Aubrecht, C., Steinnocher, K., Kostl, M., Grisel, M.","Dynamic population exposure modeling: Application of DynaPop-X for storm surge related coastal flood crisis management",2015,"International Geoscience and Remote Sensing Symposium (IGARSS)","2015-November",, 7326333,"2556","2559",,,10.1109/IGARSS.2015.7326333,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962579779&partnerID=40&md5=2513cdc0aa0e7078644163b6509d1290",Conference Paper,Scopus,2-s2.0-84962579779
"Alfieri, L., Feyen, L., Dottori, F., Bianchi, A.","Ensemble flood risk assessment in Europe under high end climate scenarios",2015,"Global Environmental Change","35",,,"199","212",,6,10.1016/j.gloenvcha.2015.09.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942237790&partnerID=40&md5=c3590dc7259dfdfc5733a656a6aac84b",Article,Scopus,2-s2.0-84942237790
