Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wang, S.-P., Wu, C.-H., Hong, C.-C.","MoS2 nanosensors fabricated by dielectrophoretic assembly for ultrasensitive and rapid sensing of volatile organic compounds",2015,"2015 IEEE SENSORS - Proceedings",,, 7370645,,,,,10.1109/ICSENS.2015.7370645,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963541996&partnerID=40&md5=be0436e828f60cde5d52123e1b0428f0",Conference Paper,Scopus,2-s2.0-84963541996
"Kamarulzaman, N., Kasim, M.F., Rusdi, R.","Band Gap Narrowing and Widening of ZnO Nanostructures and Doped Materials",2015,"Nanoscale Research Letters",10,1, 346,,,,3,10.1186/s11671-015-1034-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940475613&partnerID=40&md5=80a5bf9d824ea022df2db23bfe7c043e",Article,Scopus,2-s2.0-84940475613
"Xia, N., Wang, Q., Liu, L.","Nanomaterials-based optical techniques for the detection of acetylcholinesterase and pesticides",2015,"Sensors (Switzerland)",15,1,,499,514,,2,10.3390/s150100499,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920277908&partnerID=40&md5=38b12c5017d174776518fd4184c9470f",Review,Scopus,2-s2.0-84920277908
"Christau, S., Möller, T., Brose, F., Genzer, J., Soltwedel, O., von Klitzing, R.","Effect of gold nanoparticle hydrophobicity on thermally induced color change of PNIPAM brush/gold nanoparticle hybrids",2015,"Polymer (United Kingdom)",,,,,,,,10.1016/j.polymer.2016.03.088,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84966709420&partnerID=40&md5=78755202bbfe7352d92c793fdfe07ef8",Article in Press,Scopus,2-s2.0-84966709420
"Robak, E., Kotkowiak, M., Drozdowski, H.","Nanostructured zinc oxide systems with gold nanoparticle pattern for efficient light trapping",2015,"Journal of Physics D: Applied Physics",49,4, 045104,,,,,10.1088/0022-3727/49/4/045104,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954567088&partnerID=40&md5=d1aaf9b122aa8c4cc82ffd237b6ca3eb",Article,Scopus,2-s2.0-84954567088
"Zhang, K., Shen, J., Zhang, Y., Zhang, J., Wei, C., Ma, X.","Controlled-fabrication, morphology formation mechanism of TiO<inf>2</inf>-B nanobelts with NiO-doping",2015,"Materials and Design",88,,,713,719,,1,10.1016/j.matdes.2015.09.076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944453272&partnerID=40&md5=468404c82424bb991fb48f22d9c21695",Article,Scopus,2-s2.0-84944453272
"Guo, S., Yuan, C.","Preparation and application of silver nano composite fibers by electrostatic spinning",2015,"Progress in Chemistry",27,12,,1841,1850,,,10.7536/PC150509,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951851603&partnerID=40&md5=b81eb70e558aedb1b1374fbb11dce3d9",Review,Scopus,2-s2.0-84951851603
"Amir, M., Baykal, A., Güner, S., Sertkol, M., Sözeri, H., Toprak, M.","Synthesis and Characterization of Co<inf>x</inf>Zn<inf>1−x</inf>AlFeO<inf>4</inf> Nanoparticles",2015,"Journal of Inorganic and Organometallic Polymers and Materials",25,4,,747,754,,,10.1007/s10904-014-0153-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84931005582&partnerID=40&md5=e7834cd6eef0c37127da2eb71dce4f9c",Article,Scopus,2-s2.0-84931005582
"Akselrod, G.M., Huang, J., Hoang, T.B., Bowen, P.T., Su, L., Smith, D.R., Mikkelsen, M.H.","Large-Area Metasurface Perfect Absorbers from Visible to Near-Infrared",2015,"Advanced Materials",27,48,,8028,8034,,8,10.1002/adma.201503281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955207357&partnerID=40&md5=c3a667b277413c13acb9c30c606cdf9c",Article,Scopus,2-s2.0-84955207357
"Appel, R., Fuchs, J., Tyrrell, S.M., Korevaar, P.A., Stuart, M.C.A., Voets, I.K., Schönhoff, M., Besenius, P.","Steric Constraints Induced Frustrated Growth of Supramolecular Nanorods in Water",2015,"Chemistry - A European Journal",21,52,,19257,19264,,3,10.1002/chem.201503616,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954141869&partnerID=40&md5=ceaaf6d8d66cbaefb5e79ca8daf6b401",Article,Scopus,2-s2.0-84954141869
"Liu, G., Hall, J., Nasiri, N., Gengenbach, T., Spiccia, L., Cheah, M.H., Tricoli, A.","Scalable Synthesis of Efficient Water Oxidation Catalysts: Insights into the Activity of Flame-Made Manganese Oxide Nanocrystals",2015,"ChemSusChem",8,24,,4162,4171,,2,10.1002/cssc.201500704,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951102934&partnerID=40&md5=f124ec3afc5453268f8b1d8dcde75025",Article,Scopus,2-s2.0-84951102934
