Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, P., Yang, Y., Xiong, W.","Impacts of Mercury Pollution Controls on Atmospheric Mercury Concentration and Occupational Mercury Exposure in a Hospital",2015,"Biological Trace Element Research","168","2",,"330","334",,,10.1007/s12011-015-0391-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947047658&partnerID=40&md5=5b164942a361af577ae00699675e2827",Article,Scopus,2-s2.0-84947047658
"Arunvivek, G.K., Maheswaran, G., Senthil Kumar, S.","Eco-friendly solution to mitigate the toxic effects of hazardous construction industry waste by reusing in concrete for pollution control",2015,"Nature Environment and Pollution Technology","14","4",,"963","966",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950152809&partnerID=40&md5=5dbdff8f3b2ab6378ae91e67d96a07e6",Article,Scopus,2-s2.0-84950152809
"Guo, H., Yu, P., Wang, D., Lin, L.","Study on carbon dioxide emission performance in the guangdong province based on the Malmquist-luenberger index",2015,"Nature Environment and Pollution Technology","14","4",,"827","832",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950105484&partnerID=40&md5=0872a9fbf5782e3250064a90ce6937ba",Article,Scopus,2-s2.0-84950105484
"Dai, A., Li, K., Ding, D., Li, Y., Liang, S., Li, Y., Su, Y., Wang, X.","Total maximum allocated load calculation of nitrogen pollutants by linking a 3D biogeochemical-hydrodynamic model with a programming model in Bohai Sea",2015,"Continental Shelf Research","111",,,"197","210",,1,10.1016/j.csr.2015.08.028,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951781560&partnerID=40&md5=54cf81e280d1b53ec5133907481ee169",Article,Scopus,2-s2.0-84951781560
"Schmidt, M., Jõgi, I., Hołub, M., Brandenburg, R.","Non-thermal plasma based decomposition of volatile organic compounds in industrial exhaust gases",2015,"International Journal of Environmental Science and Technology","12","12",,"3745","3754",,,10.1007/s13762-015-0814-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946149477&partnerID=40&md5=aa040a085a395a126385c804a3851cc5",Article,Scopus,2-s2.0-84946149477
"Qiu, X., Zhu, Y., Jang, C., Lin, C.-J., Wang, S., Fu, J., Xie, J., Wang, J., Ding, D., Long, S.","Development of an integrated policy making tool for assessing air quality and human health benefits of air pollution control",2015,"Frontiers of Environmental Science and Engineering","9","6",,"1056","1065",,1,10.1007/s11783-015-0796-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947869574&partnerID=40&md5=26d45cd6f30701f5bd6c8fd19a91b06e",Article,Scopus,2-s2.0-84947869574
"Moosa, I.A.","The Economic and Financial Effects of Environmental Regulation",2015,"Handbook of Environmental and Sustainable Finance",,,,"265","292",,,10.1016/B978-0-12-803615-0.00013-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966862623&partnerID=40&md5=a8191d3572bd595a0e4e45739d84b527",Book Chapter,Scopus,2-s2.0-84966862623
"Yonley, C., Remsberg, M.","Cement Industry Readiness Check for Upgraded Environmental Regulations: Final Actions to Implement the Latest MACT, NSPS, and Alternative Fuel Requirements",2015,"IEEE Transactions on Industry Applications","51","6", 7155555,"4833","4839",,,10.1109/TIA.2015.2456061,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957922761&partnerID=40&md5=13e4027a6f748a11907e060a0c1c6ae1",Article,Scopus,2-s2.0-84957922761
"Liu, C., Che, W., Tan, B.","Determination of the Interception Volume of Storm Water Based on the Contaminants Transport in Storm Sewers",2015,"Clean - Soil, Air, Water","43","11",,"1495","1500",,,10.1002/clen.201300319,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949207533&partnerID=40&md5=11c2ef36d7760db645269ad9efc46654",Article,Scopus,2-s2.0-84949207533
"Jiang, X., Hong, C., Zheng, Y., Zheng, B., Guan, D., Gouldson, A., Zhang, Q., He, K.","To what extent can China's near-term air pollution control policy protect air quality and human health? A case study of the Pearl River Delta region",2015,"Environmental Research Letters","10","10", 104006,"","",,1,10.1088/1748-9326/10/10/104006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966320723&partnerID=40&md5=8ea9995c5d085af67b8be2976a2f9e7e",Article,Scopus,2-s2.0-84966320723
"Krishnaraj, R.","Contemporary and futuristic views of pollution control devices in foundries",2015,"Ecotoxicology and Environmental Safety","120",,,"130","135",,1,10.1016/j.ecoenv.2015.05.045,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935925857&partnerID=40&md5=43917d47873e84b3c92ef63aef00f63c",Article,Scopus,2-s2.0-84935925857
"Kim, M., Braatz, R.D., Kim, J.T., Yoo, C.","Indoor air quality control for improving passenger health in subway platforms using an outdoor air quality dependent ventilation system",2015,"Building and Environment","92",,,"407","417",,4,10.1016/j.buildenv.2015.05.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930668883&partnerID=40&md5=1101fd7eea14e4e827ce566d06eebb1d",Article,Scopus,2-s2.0-84930668883
"Huang, T., Sun, X., Li, X., Cong, H., Cheng, Y.","Water quality improvement using water-lifting aeration technology",2015,"Water Pollution and Water Quality Control of Selected Chinese Reservoir Basins","38",,,"279","329",,,10.1007/978-3-319-20391-1_9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955338121&partnerID=40&md5=dcc7219d26e6bfda964860a857ec2485",Book Chapter,Scopus,2-s2.0-84955338121
"Huang, T., Li, X., Cheng, Y., Shi, X.","Methods of reservoir water pollution control and water quality improvement",2015,"Water Pollution and Water Quality Control of Selected Chinese Reservoir Basins","38",,,"265","277",,,10.1007/978-3-319-20391-1_8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955400627&partnerID=40&md5=b2dd5b4273614f1c3869dd2eebd4a1c7",Book Chapter,Scopus,2-s2.0-84955400627
"Kuo, J.-Y.","The study on the evaluation of the pollution control situation of the sewage systems in the counties and cities of Taiwan by applying the VIKOR method",2015,"Environmental Science and Pollution Research",,,,"","",9,,10.1007/s11356-015-5324-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941696025&partnerID=40&md5=6d2ba9ac315e664c26893d92bbba58de",Article in Press,Scopus,2-s2.0-84941696025
"Li, L., Zhang, J., Lin, J., Liu, J.","Biological technologies for the removal of sulfur containing compounds from waste streams: bioreactors and microbial characteristics",2015,"World Journal of Microbiology and Biotechnology","31","10",,"1501","1515",,,10.1007/s11274-015-1915-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941420760&partnerID=40&md5=3bf4a508bf34b3a27c20aa58e3582bc3",Review,Scopus,2-s2.0-84941420760
"Shan, B., Wang, C., Li, X., Li, W., Zhang, H.","Method for river pollution control plan based on water quality target management and the case study",2015,"Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae","35","8",,"2314","2323",,,10.13671/j.hjkxxb.2015.0029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940990392&partnerID=40&md5=451a5ca19db30ff376f689c1bb4a7905",Article,Scopus,2-s2.0-84940990392
"Zhang, Y.M., Huang, G., Lu, H.W., He, L.","Planning of water resources management and pollution control for Heshui River watershed, China: A full credibility-constrained programming approach",2015,"Science of the Total Environment","524-525",,,"280","289",,4,10.1016/j.scitotenv.2015.03.032,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927942634&partnerID=40&md5=65dd6f42b292ef548a8a62c26a7375e9",Article,Scopus,2-s2.0-84927942634
"Zeng, L., Dong, X., Zeng, S., Zhang, T., Li, J., Chen, J.","Post-evaluation of a water pollution control plan: methodology and case study",2015,"Frontiers of Environmental Science and Engineering","9","4",,"712","724",,,10.1007/s11783-015-0773-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934440584&partnerID=40&md5=5f7b9a212ffc5a2dd5c65ee5b4c1d1d6",Article,Scopus,2-s2.0-84934440584
"Tang, X., Wu, M., Yang, W., Scholz, M.","Impact of Simulated Water Level Regulation on Sediment Nutrient Release",2015,"Water, Air, and Soil Pollution","226","8", 2519,"","",,,10.1007/s11270-015-2519-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937468226&partnerID=40&md5=ad3aa17f4ed6a2da8f6e61c686679788",Article,Scopus,2-s2.0-84937468226
"Simsek, H., Kobya, M., Khan, E., Bezbaruah, A.N.","Removal of aqueous cyanide with strongly basic ion-exchange resin",2015,"Environmental Technology (United Kingdom)","36","13",,"1612","1622",,1,10.1080/09593330.2014.999829,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926522660&partnerID=40&md5=9519043a107fd3986a00e333473bdf51",Article,Scopus,2-s2.0-84926522660
