Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Salazar, C., Buckley, K., Mobley, C.","What's on tap? Transforming stormwater survey data into visually appealing educational tools",2015,"Proceedings - 2015 IEEE 12th International Conference on Mobile Ad Hoc and Sensor Systems, MASS 2015",,, 7366999,593,597,,,10.1109/MASS.2015.66,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964608619&partnerID=40&md5=4e1d8f816aefbd36df226802880eabc2",Conference Paper,Scopus,2-s2.0-84964608619
"Verma, P., Kumar, A., Rathod, N., Jain, P., Mallikarjun, S., Subramanian, R., Amrutur, B., Kumar, M.S.M., Sundaresan, R.","Towards an IoT based water management system for a campus",2015,"2015 IEEE 1st International Smart Cities Conference, ISC2 2015",,, 7366152,,,,,10.1109/ISC2.2015.7366152,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84970031396&partnerID=40&md5=1190d493545daefae36e255b113b189a",Conference Paper,Scopus,2-s2.0-84970031396
"Liu, J., Kattel, G., Arp, H.P.H., Yang, H.","Towards threshold-based management of freshwater ecosystems in the context of climate change",2015,"Ecological Modelling",318,,,265,274,,2,10.1016/j.ecolmodel.2014.09.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946596750&partnerID=40&md5=49feb578656f67632fed1a974d23f6e9",Article,Scopus,2-s2.0-84946596750
"Konig, M., Jacob, J., Kaddoura, T., Farid, A.M.","The role of resource efficient decentralized wastewater treatment in smart cities",2015,"2015 IEEE 1st International Smart Cities Conference, ISC2 2015",,, 7366155,,,,,10.1109/ISC2.2015.7366155,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84970044973&partnerID=40&md5=ef23cd89a9a1312efe008acfbcce70e3",Conference Paper,Scopus,2-s2.0-84970044973
"Flipo, G., Josset, C., Bellettre, J., Auvity, B.","Clarification of the surface wettability effects on two-phase flow patterns in PEMFC gas channels",2015,"International Journal of Hydrogen Energy",,,,,,,,10.1016/j.ijhydene.2016.04.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964661990&partnerID=40&md5=f7913eb43adca20d36959036b3eebaf4",Article in Press,Scopus,2-s2.0-84964661990
"Peng, S., Xu, X., Lu, S., Sui, P.-C., Djilali, N., Xiang, Y.","A self-humidifying acidic-alkaline bipolar membrane fuel cell",2015,"Journal of Power Sources",299,,,273,279,,5,10.1016/j.jpowsour.2015.08.104,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941340426&partnerID=40&md5=66b5300c70ccf6a6bb5f5d78cbdc48ff",Article,Scopus,2-s2.0-84941340426
"Bizzarri, C., Soren, D.","Etruscan Domestic Architecture, Hydraulic Engineering, and Water Management Technologies: Innovations and Legacy to Rome",2015,"A Companion to the Etruscans",,,,129,145,,,10.1002/9781118354933.ch10,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979902262&partnerID=40&md5=427e10a0873fdd24d010927b69249a9d",Book Chapter,Scopus,2-s2.0-84979902262
"Zhao, X., Xu, H., Wang, M., Zhang, P., Ling, H., Zheng, G.","Overloading analysis of irrigation area in basins of Tarim River in different years",2015,"Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering",31,24,,77,81,,,10.11975/j.issn.1002-6819.2015.24.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84953742996&partnerID=40&md5=b9fa08c98fffbb740654db14a24c9ea8",Article,Scopus,2-s2.0-84953742996
"Ito, H., Abe, K., Ishida, M., Hwang, C.M., Nakano, A.","Effect of through-plane polytetrafluoroethylene distribution in a gas diffusion layer on a polymer electrolyte unitized reversible fuel cell",2015,"International Journal of Hydrogen Energy",40,46,,16556,16565,,1,10.1016/j.ijhydene.2015.09.102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955308964&partnerID=40&md5=8c094ef21280e6d446d1bbd3d8ae6a06",Article,Scopus,2-s2.0-84955308964
"Zenyuk, I.V., Medici, E., Allen, J., Weber, A.Z.","Coupling continuum and pore-network models for polymer-electrolyte fuel cells",2015,"International Journal of Hydrogen Energy",40,46,,16831,16845,,1,10.1016/j.ijhydene.2015.08.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955397136&partnerID=40&md5=c4f1b76a4ed8f176cbb1ae4cdff56233",Conference Paper,Scopus,2-s2.0-84955397136
"Obeisun, O.A., Meyer, Q., Engebretsen, E., Finegan, D.P., Robinson, J.B., Hinds, G., Shearing, P.R., Brett, D.J.L.","Study of water accumulation dynamics in the channels of an open-cathode fuel cell through electro-thermal characterisation and droplet visualisation",2015,"International Journal of Hydrogen Energy",40,46,,16786,16796,,1,10.1016/j.ijhydene.2015.07.066,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955344177&partnerID=40&md5=0ea3bf39b90128d90e3e4aab2928d48c",Conference Paper,Scopus,2-s2.0-84955344177
"Emanuel, R.E., Buckley, J.J., Caldwell, P.V., McNulty, S.G., Sun, G.","Influence of basin characteristics on the effectiveness and downstream reach of interbasin water transfers: Displacing a problem",2015,"Environmental Research Letters",10,12, 124005,,,,1,10.1088/1748-9326/10/12/124005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84952887569&partnerID=40&md5=b45491f24ebf99fcfdb6d37e84e34fe7",Article,Scopus,2-s2.0-84952887569
"Hawrylak, P.J., Nichols, W., Li, X., Johannes, T., Decook, R., Mongold, K., Cornell, C., Flint, L.A., Singh, A.","HydroSense: A self-powered wireless device for monitoring water usage in hotel showers",2015,"Proceedings of the 5th IEEE Global Humanitarian Technology Conference, GHTC 2015",,, 7343990,314,320,,,10.1109/GHTC.2015.7343990,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960394765&partnerID=40&md5=6e1923a4469f022c20b5f57326ca20f1",Conference Paper,Scopus,2-s2.0-84960394765
"Mason, E., Montalto, F.A.","The overlooked role of New York City urban yards in mitigating and adapting to climate change",2015,"Local Environment",20,12,,1412,1427,,,10.1080/13549839.2014.907249,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949087854&partnerID=40&md5=71313ee055859b8a32d6b00cd5ec0aef",Article,Scopus,2-s2.0-84949087854
"Putra, Z.A.","Improve performance and reduce costs of wastewater treatment plants",2015,"Hydrocarbon Processing",2015,DECEMBER,,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949009858&partnerID=40&md5=a449e80dce7b3da87d4433ba3f5a5de6",Note,Scopus,2-s2.0-84949009858
"Cooper, C., Cockerill, K.","Water quantity perceptions in Northwestern North Carolina: Comparing college student and public survey responses",2015,"Southeastern Geographer",55,4,,386,399,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959576859&partnerID=40&md5=ec6dca9672f090e12658a1c015468e96",Article,Scopus,2-s2.0-84959576859
"Delavari Edalat, F., Abdi, M.R.","Constraints on the Adoption of Adaptive Water Management Principles: the Case of Greater Tehran",2015,"Water Resources Management",29,15,,5569,5591,,1,10.1007/s11269-015-1135-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944691277&partnerID=40&md5=3a93bf69721c29636264b91544428652",Article,Scopus,2-s2.0-84944691277
"Aydogdu, M.H., Yenigun, K., Aydogdu, M.","Factors affecting farmers’ satisfaction from water users association in the Harran Plain-GAP region, Turkey",2015,"Journal of Agricultural Science and Technology",17,,,1669,1684,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951956795&partnerID=40&md5=c9c2c6f5abb7311ec1527ec4ebf0d28f",Article,Scopus,2-s2.0-84951956795
"Jenssen, D., Berger, O., Krewer, U.","Anode flooding characteristics as design boundary for a hydrogen supply system for automotive polymer electrolyte membrane fuel cells",2015,"Journal of Power Sources",298,,,249,258,,,10.1016/j.jpowsour.2015.08.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940491446&partnerID=40&md5=9ab8bbdbd359ea8110851c284631c514",Article,Scopus,2-s2.0-84940491446
"Esteve, P., Varela-Ortega, C., Blanco-Gutiérrez, I., Downing, T.E.","A hydro-economic model for the assessment of climate change impacts and adaptation in irrigated agriculture",2015,"Ecological Economics",120,,,49,58,,2,10.1016/j.ecolecon.2015.09.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945301695&partnerID=40&md5=c53c0820082dfc83faea78e32b623f39",Article,Scopus,2-s2.0-84945301695
"Xiao, M., Dong, S., Li, Z., Tang, X., Chen, Y., Yang, S., Wu, C., Ouyang, D., Fang, C., Song, Z.","Effects of water management practices on residue decomposition and degradation of Cry1Ac protein from crop-wild Bt rice hybrids and parental lines during winter fallow season",2015,"Ecotoxicology and Environmental Safety",122,,,275,289,,,10.1016/j.ecoenv.2015.08.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84939805092&partnerID=40&md5=6640f7f3e42cc36c03df5b8fdf9a12ad",Article,Scopus,2-s2.0-84939805092
"Moghazy, H.M., Saleh, O.K., Rashwan, I.M., El Tahan, N.E.","Water management of Meet Yazied Canal, Kafr El-Shiekh governorate",2015,"Alexandria Engineering Journal",54,4,,1193,1205,,,10.1016/j.aej.2015.08.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955750850&partnerID=40&md5=069cb073492d225b5ec4f63c872f88e5",Article,Scopus,2-s2.0-84955750850
"He, J., Huang, A., Xu, L.","Spatial heterogeneity and transboundary pollution: A contingent valuation (CV) study on the Xijiang River drainage basin in south China",2015,"China Economic Review",36,,,101,130,,1,10.1016/j.chieco.2015.08.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941959695&partnerID=40&md5=7a9e3ffcad2eb7b08276c89de85bc365",Article,Scopus,2-s2.0-84941959695
"Koop, S.H.A., van Leeuwen, C.J.","Assessment of the Sustainability of Water Resources Management: A Critical Review of the City Blueprint Approach",2015,"Water Resources Management",29,15,,5649,5670,,1,10.1007/s11269-015-1139-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940962504&partnerID=40&md5=b5ecf809d865ba9f6e0b0972d14adaf0",Article,Scopus,2-s2.0-84940962504
"Connolly, M.H., Hagelman, R.R.","Management implications of spatiotemporal non-stationarity in municipal water consumption patterns and drivers",2015,"Applied Geography",65,,,70,81,,1,10.1016/j.apgeog.2015.11.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947772115&partnerID=40&md5=1eaaeed2ee1cdec04f313a48bf8df026",Article,Scopus,2-s2.0-84947772115
"Rouillé, G., Blanchon, D., Calas, B., Temple-Boyer, E.","Environment, Ecologisation of politics, and Territorialisations: New water policies (Gire and Pes) in Kenya | Environnement, écologisation du politique et territorialisations : les nouvelles politiques de l'eau (gire et pse) au Kenya",2015,"Espace Geographique",45,2,,131,146,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948981729&partnerID=40&md5=94bcb5fd9c6d3edaaa9e8aa2c5449786",Review,Scopus,2-s2.0-84948981729
"Ntambi, F., Kruger, C.P., Silva, B.J., Hancke, G.P.","Design of a water management system",2015,"IEEE AFRICON Conference",2015-November,, 7332012,,,,,10.1109/AFRCON.2015.7332012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962574550&partnerID=40&md5=ec2c5054524cc50b504ad43be1d7fe9d",Conference Paper,Scopus,2-s2.0-84962574550
"Lebel, P., Whangchai, N., Chitmanat, C., Lebel, L.","Climate risk management in river-based tilapia cage culture in northern Thailand",2015,"International Journal of Climate Change Strategies and Management",7,4,,476,498,,3,10.1108/IJCCSM-01-2014-0018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930735711&partnerID=40&md5=464b5b5293e703484fc978f2e62b1bbf",Article,Scopus,2-s2.0-84930735711
"Yang, G., Guo, P., Li, M., Fang, S., Zhang, L.","An Improved Solving Approach for Interval-Parameter Programming and Application to an Optimal Allocation of Irrigation Water Problem",2015,"Water Resources Management",,,,1,29,,1,10.1007/s11269-015-1186-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947429416&partnerID=40&md5=e0ece791cadf6613560fb9a8ca46a23c",Article in Press,Scopus,2-s2.0-84947429416
"Denaro, S., Del Gobbo, U., Castelletti, A., Tebaldini, S., Guarnieri, A.M.","Informing water management by direct use of SAR retrieved snow information in snow-rainfall dominated watersheds",2015,"International Geoscience and Remote Sensing Symposium (IGARSS)",2015-November,, 7326072,1531,1534,,,10.1109/IGARSS.2015.7326072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962499199&partnerID=40&md5=952ba426e5880ae024bacc6355c955e8",Conference Paper,Scopus,2-s2.0-84962499199
"Zhang, S., Guo, Y.","SWMM simulation of the Storm Water volume control performance of permeable pavement systems",2015,"Journal of Hydrologic Engineering",20,8, 06014010,,,,2,10.1061/(ASCE)HE.1943-5584.0001092,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946038953&partnerID=40&md5=ae2f9700aa5ca4e0036d72170da1ead2",Article,Scopus,2-s2.0-84946038953
"Furlong, C., Gan, K., De Silva, S.","Governance of Integrated Urban Water Management in Melbourne, Australia",2015,"Utilities Policy",,,,,,,,10.1016/j.jup.2016.04.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965122418&partnerID=40&md5=5aefc47fa50bdb7c296b1024d6ec5628",Article in Press,Scopus,2-s2.0-84965122418
"Avcioglu, G.S., Ficicilar, B., Eroglu, I.","Effect of PTFE nanoparticles in catalyst layer with high Pt loading on PEM fuel cell performance",2015,"International Journal of Hydrogen Energy",,,,,,,,10.1016/j.ijhydene.2016.03.048,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979463128&partnerID=40&md5=6be81d6af6304c18a24336d245eacebd",Article in Press,Scopus,2-s2.0-84979463128
"Egan, M.","Driving Water Management Change Where Economic Incentive is Limited",2015,"Journal of Business Ethics",132,1,,73,90,,,10.1007/s10551-014-2309-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948580334&partnerID=40&md5=305c17b87222c2d1019816f0f1e3c6b0",Article,Scopus,2-s2.0-84948580334
"de Bruin, A., Pateman, R., Barron, J., Balima, M., Ouedraogo, I., Da Dapola, E., Fosu, M., Annor, F.O., Magombeyi, M., Kileshye Onema, J.-M.","Setting up agricultural water management interventions - learning from successful case studies in the Volta and Limpopo river basins",2015,"Water Resources and Rural Development",6,,,12,23,,3,10.1016/j.wrr.2015.09.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947563585&partnerID=40&md5=56c10eda2e9eb4e49064859e9f870372",Article,Scopus,2-s2.0-84947563585
"Whateley, S., Walker, J.D., Brown, C.","A web-based screening model for climate risk to water supply systems in the northeastern United States",2015,"Environmental Modelling and Software",73,,,64,75,,1,10.1016/j.envsoft.2015.08.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940061682&partnerID=40&md5=ac528ac222c995b617577f99a2543d42",Article,Scopus,2-s2.0-84940061682
"Wang, S.-X., Qi, H.","Experimental study on PEM fuel cell under conditions of different humidification temperatures",2015,"Zhejiang Daxue Xuebao (Gongxue Ban)/Journal of Zhejiang University (Engineering Science)",49,11,,,,2193-2197 and 2213,,10.3785/j.issn.1008-973X.2015.11.022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949564807&partnerID=40&md5=7a29a763b4af792b216a7cc05e8d39f4",Article,Scopus,2-s2.0-84949564807
"Bach, P.M., Staalesen, S., McCarthy, D.T., Deletic, A.","Revisiting land use classification and spatial aggregation for modelling integrated urban water systems",2015,"Landscape and Urban Planning",143,,,43,55,,1,10.1016/j.landurbplan.2015.05.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937216506&partnerID=40&md5=c39ba1c7e66cb558801fa81396a3d5b7",Article,Scopus,2-s2.0-84937216506
"Bertone, E., Stewart, R.A., Zhang, H., Bartkow, M., Hacker, C.","An autonomous decision support system for manganese forecasting in subtropical water reservoirs",2015,"Environmental Modelling and Software",73,,,133,147,,1,10.1016/j.envsoft.2015.08.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84939600098&partnerID=40&md5=350536c29fb1c18c4024482a0324779b",Article,Scopus,2-s2.0-84939600098
"Prieto, M.A., Murado, M.A., Bartlett, J., Magette, W.L., Curran, T.P.","Mathematical model as a standard procedure to analyze small and large water distribution networks",2015,"Journal of Cleaner Production",106,,,541,554,,2,10.1016/j.jclepro.2014.12.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84938215797&partnerID=40&md5=48a20986874a9c38bd08c0c899ba1759",Conference Paper,Scopus,2-s2.0-84938215797
"Galelli, S., Castelletti, A., Goedbloed, A.","High-Performance Integrated Control of water quality and quantity in urban water reservoirs",2015,"Water Resources Research",51,11,,9053,9072,,,10.1002/2015WR017595,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84956745035&partnerID=40&md5=3663d0d2d18ba31f309651b4a8e9bf10",Article,Scopus,2-s2.0-84956745035
"Ketpang, K., Shanmugam, S., Suwanboon, C., Chanunpanich, N., Lee, D.","Efficient water management of composite membranes operated in polymer electrolyte membrane fuel cells under low relative humidity",2015,"Journal of Membrane Science",493,,,285,298,,5,10.1016/j.memsci.2015.06.055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937053693&partnerID=40&md5=abbb0f8f383fc50bffc226df3ce01562",Article,Scopus,2-s2.0-84937053693
"Thakur, A.K., Mohanty, R.K., Singh, R., Patil, D.U.","Enhancing water and cropping productivity through Integrated System of Rice Intensification (ISRI) with aquaculture and horticulture under rainfed conditions",2015,"Agricultural Water Management",161,,,65,76,,1,10.1016/j.agwat.2015.07.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84938821278&partnerID=40&md5=c70ce3cce84ef60d207bb264b786f331",Article,Scopus,2-s2.0-84938821278
"González-Bravo, R., Nápoles-Rivera, F., Ponce-Ortega, J.M., El-Halwagi, M.M.","Involving integrated seawater desalination-power plants in the optimal design of water distribution networks",2015,"Resources, Conservation and Recycling",104,,,181,193,,,10.1016/j.resconrec.2015.08.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947868063&partnerID=40&md5=80c3d8ef13a8db3676984ed8753d2fa3",Article,Scopus,2-s2.0-84947868063
"Forner-Cuenca, A., Biesdorf, J., Gubler, L., Kristiansen, P.M., Schmidt, T.J., Boillat, P.","Engineered Water Highways in Fuel Cells: Radiation Grafting of Gas Diffusion Layers",2015,"Advanced Materials",27,41,,6317,6322,,3,10.1002/adma.201503557,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946054951&partnerID=40&md5=190ddf39238162c6e791e53aea4f4d10",Article,Scopus,2-s2.0-84946054951
"Wang, J.","Theory and practice of flow field designs for fuel cell scaling-up: A critical review",2015,"Applied Energy",157,,,640,663,,4,10.1016/j.apenergy.2015.01.032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84933542571&partnerID=40&md5=488643cbc93a895f1ad3c5fa52b3cbf6",Article,Scopus,2-s2.0-84933542571
"Chu, J., Wang, J., Wang, C.","A structure-efficiency based performance evaluation of the urban water cycle in northern China and its policy implications",2015,"Resources, Conservation and Recycling",104,,,1,11,,1,10.1016/j.resconrec.2015.09.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945273575&partnerID=40&md5=961776ea8436d4721acbfd4f2f6d5865",Article,Scopus,2-s2.0-84945273575
"Mushtaq, H., Khan, M.B., Khan, H.R., Zahoor, M.A.","Economic evaluation of Tarbela dam",2015,"2015 Power Generation Systems and Renewable Energy Technologies, PGSRET 2015",,, 7312246,,,,,10.1109/PGSRET.2015.7312246,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962439696&partnerID=40&md5=900d7ccc372956a54a0658b91bcfb755",Conference Paper,Scopus,2-s2.0-84962439696
"Fernandes, M., Adams, J.","Quantifying the loss of and changes in estuary habitats in the uMkhomazi and Mvoti estuaries, South Africa",2015,"South African Journal of Botany",,,,,,,,10.1016/j.sajb.2016.04.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975468026&partnerID=40&md5=b1c1da5292cfcb60d7ff87091adb9633",Article in Press,Scopus,2-s2.0-84975468026
"Holmatov, B., Lautze, J., Kazbekov, J.","Tributary-level transboundary water law in the Syr Darya: overlooked stories of practical water cooperation",2015,"International Environmental Agreements: Politics, Law and Economics",,,,,,,,10.1007/s10784-015-9308-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944930417&partnerID=40&md5=eb9e2a00fd05d14fe35b0b23764b3b28",Article in Press,Scopus,2-s2.0-84944930417
"Haasnoot, M., Schellekens, J., Beersma, J.J., Middelkoop, H., Kwadijk, J.C.J.","Transient scenarios for robust climate change adaptation illustrated for water management in the Netherlands",2015,"Environmental Research Letters",10,10, 105008,,,,2,10.1088/1748-9326/10/10/105008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84956681718&partnerID=40&md5=d2a069564bf3c04379c1407584304317",Article,Scopus,2-s2.0-84956681718
"Salah, H.A., Mocanu, M., Florea, A.","Development of a prototype ArcGIS-web-based decision application WATERDSS: For water pollution management",2015,"Proceedings of the 2015 7th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2015",,, 7301143,E1,E6,,,10.1109/ECAI.2015.7301143,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959066527&partnerID=40&md5=222396ef70e323f91df4a7ca6a8b8eae",Conference Paper,Scopus,2-s2.0-84959066527
"Hart, B.T., Taylor, M., Iles, M., Kyle, G., Sinclair, G.","Resolving long-term issues related to surface water management and monitoring associated with the Ranger Uranium Mine, Northern Territory, Australia",2015,"Australasian Journal of Environmental Management",22,4,,417,431,,,10.1080/14486563.2015.1028487,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957724878&partnerID=40&md5=8d8934280587f5cd1e5c99072773b170",Article,Scopus,2-s2.0-84957724878
"Crase, L., Cooper, B.","Politics, socio-economics and water allocations: A note on the limits of Integrated Water Resources Management",2015,"Australasian Journal of Environmental Management",22,4,,388,399,,,10.1080/14486563.2015.1041068,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957724843&partnerID=40&md5=7cd5111751c14d87255209f30007583e",Article,Scopus,2-s2.0-84957724843
"Dorais, M., Alsanius, B.","Advances and Trends in Organic Fruit and Vegetable Farming Research",2015,"Horticultural Reviews",43,,,185,268,,,10.1002/9781119107781.ch04,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84977439742&partnerID=40&md5=5bee53e84a2491a752bd4cadacfc9224",Book Chapter,Scopus,2-s2.0-84977439742
"Cominola, A., Giuliani, M., Piga, D., Castelletti, A., Rizzoli, A.E.","Benefits and challenges of using smart meters for advancing residential water demand modeling and management: A review",2015,"Environmental Modelling and Software",72,,,198,214,,3,10.1016/j.envsoft.2015.07.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84939237348&partnerID=40&md5=c0cd2fb9dd3ac0371124eaad56f6b690",Review,Scopus,2-s2.0-84939237348
"DeRose, R.J., Bekker, M.F., Wang, S.-Y., Buckley, B.M., Kjelgren, R.K., Bardsley, T., Rittenour, T.M., Allen, E.B.","A millennium-length reconstruction of Bear River stream flow, Utah",2015,"Journal of Hydrology",529,P2,,524,534,,1,10.1016/j.jhydrol.2015.01.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941260640&partnerID=40&md5=3e69c4e917915b46e902e14779a8b889",Article,Scopus,2-s2.0-84941260640
"Huang, F., Liu, Z., Ridoutt, B.G., Huang, J., Li, B.","China’s water for food under growing water scarcity",2015,"Food Security",7,5,,933,949,,,10.1007/s12571-015-0494-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942877155&partnerID=40&md5=ecd71980efcaeb016a3569615d102734",Article,Scopus,2-s2.0-84942877155
"Sanders, K.T., Masri, S.F.","The energy-water agriculture nexus: The past, present and future of holistic resource management via remote sensing technologies",2015,"Journal of Cleaner Production",,,,,,,,10.1016/j.jclepro.2016.01.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961286857&partnerID=40&md5=d65aa099e86a8c751f5b363737630fa3",Article in Press,Scopus,2-s2.0-84961286857
"Vollaro, M., Sardonini, L., Raggi, M., Viaggi, D.","Water tariffs in agriculture: Emilia romagna case study",2015,"Use of Economic Instruments in Water Policy: Insights from International Experience",,,,121,134,,,10.1007/978-3-319-18287-2_9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955663951&partnerID=40&md5=a74fb03a4af8086a4bb0db5ce7f1e089",Book Chapter,Scopus,2-s2.0-84955663951
"Alromeed, A.A., Rossi, R., Bitella, G., Bochicchio, R., Amato, M.","Irrigation scenarios for artichokes and dry bean as a result of soil variability on the basis of resistivity mapping in southwest Italy",2015,"Italian Journal of Agronomy",10,3, 631,151,154,,,10.4081/ija.2015.631,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942304731&partnerID=40&md5=38bae48827dcfc3a84d1def0edd2f9f5",Article,Scopus,2-s2.0-84942304731
"Donoso, G.","Chilean water rights markets as a water allocation mechanism",2015,"Use of Economic Instruments in Water Policy: Insights from International Experience",,,,265,278,,,10.1007/978-3-319-18287-2_19,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955726343&partnerID=40&md5=4f76628e755a02dc92d3ef6487ab35b0",Book Chapter,Scopus,2-s2.0-84955726343
"Lee, K., Ferekh, S., Jo, A., Lee, S., Ju, H.","Effects of hybrid catalyst layer design on methanol and water transport in a direct methanol fuel cell",2015,"Electrochimica Acta",177,, 24501,209,216,,2,10.1016/j.electacta.2015.02.222,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941423686&partnerID=40&md5=f20d2f0746d2d6c1dadb16b0325e34a1",Article,Scopus,2-s2.0-84941423686
"Loganathan, K., Bromley, D., Chelme-Ayala, P., Gamal El-Din, M.","A hybrid froth flotation-filtration system as a pretreatment for oil sands tailings pond recycle water management: Bench- and pilot-scale studies",2015,"Journal of Environmental Management",161,,,113,123,,,10.1016/j.jenvman.2015.06.031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84936888805&partnerID=40&md5=1539b75d174c5cf8c12a0ec2d3eb829b",Article,Scopus,2-s2.0-84936888805
"Donoso, M.C., Bosch, M.C.","Integrated water resources management in latin America and the caribbean",2015,"Sustainability of Integrated Water Resources Management: Water Governance, Climate and Ecohydrology",,,,9,23,,,10.1007/978-3-319-12194-9_2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955338690&partnerID=40&md5=535c692de6b346bf4f89666f41156b21",Book Chapter,Scopus,2-s2.0-84955338690
"Lartigue, C.","Efficient use of water resources for sustainability",2015,"Sustainability of Integrated Water Resources Management: Water Governance, Climate and Ecohydrology",,,,489,504,,,10.1007/978-3-319-12194-9_26,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955347269&partnerID=40&md5=3be8e95713a3895b46559fcfccda9585",Book Chapter,Scopus,2-s2.0-84955347269
"Vairavamoorthy, K., Eckart, J., Tsegaye, S., Ghebremichael, K., Khatri, K.","A paradigm shift in urban water management: An imperative to achieve sustainability",2015,"Sustainability of Integrated Water Resources Management: Water Governance, Climate and Ecohydrology",,,,51,64,,,10.1007/978-3-319-12194-9_4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955342243&partnerID=40&md5=505d9e329476bea95cdd1978187daf0f",Book Chapter,Scopus,2-s2.0-84955342243
