"X","Authors","Title","Year","Cited.by","Affiliations","EID","Affiliations2","City","County","CountyCode"
18,"Niculescu S., Lardeux C., Hanganu J., Mercier G., David L.","Change detection in floodable areas of the Danube delta using radar images",2015,NA,"Danube Delta for Research and Development, 165 Babadag Street, Tulcea, Romania","2-s2.0-84938991206","danube delta for research and development, 165 babadag street, tulcea, romania","Tulcea","Tulcea","TL"
20,"Butunoiu D., Rusu E.","A data assimilation scheme to improve the wave predictions in the Black Sea",2015,NA,"Department of Mechanical Engineering, University 'Dun<U+0259>rea de Jos', Galati, Romania","2-s2.0-84957680804","department of mechanical engineering, university 'dun<u+0259>rea de jos', galati, romania","Galati","Galati","GL"
21,"Raileanu A., Onea F., Rusu E.","Assessment of the wind energy potential in the coastal environment of two enclosed seas",2015,NA,"Department of Mechanical Engineering, University 'Dun<U+0259>rea de Jos', Galati, Romania","2-s2.0-84957619234","department of mechanical engineering, university 'dun<u+0259>rea de jos', galati, romania","Galati","Galati","GL"
23,"Bony G., Morhange C., Marriner N., Baralis A., Kaniewski D., Rossignol I., Lungu V.","History and influence of the Danube delta lobes on the evolution of the ancient harbour of Orgame (Dobrogea, Romania)",2015,NA,"Institute of South-Eastern European Studies, Romanian Academy, Calea 13 Septembrie nr.13, O.P. 22 C.P. 159, Bucharest, Romania","2-s2.0-84935006748","institute of south-eastern european studies, romanian academy, calea 13 septembrie nr.13, o.p. 22 c.p. 159, bucharest, romania","Bucharest","Bucuresti","B"
24,"Vandenbulcke L., Barth A.","A stochastic operational forecasting system of the Black Sea: Technique and validation",2015,1,"Jailoo SRL, Seamod.ro, Valea Iepii nr. 1, Com. Salatrucu, Jud. Arges, Romania","2-s2.0-84939489874","jailoo srl, seamod.ro, valea iepii nr. 1, com. salatrucu, jud. arges, romania","Curtea de Arges","Arges","AG"
51,"Popescu I., Cioaca E., Pan Q., Jonoski A., Hanganu J.","Use of hydrodynamic models for the management of the Danube Delta wetlands: The case study of Sontea-Fortuna ecosystem",2015,2,"Danube Delta National Institute, 165 Babadag Street, Tulcea, Romania","2-s2.0-84918801605","danube delta national institute, 165 babadag street, tulcea, romania","Tulcea","Tulcea","TL"
59,"Fagara<U+0219> M., Niculescu M., Popoviciu R.","Annual vegetation along the black sea shoreline within the Danube delta biosphere reserve",2015,NA,"Ovidius University of Constanta, Constanta, Romania","2-s2.0-84946563561","ovidius university of constanta, constanta, romania","Constanta","Constanta","CT"
59,"Fagara<U+0219> M., Niculescu M., Popoviciu R.","Annual vegetation along the black sea shoreline within the Danube delta biosphere reserve",2015,NA,"University of Craiova, Departament of Botany, Craiova, Romania","2-s2.0-84946563561","university of craiova, departament of botany, craiova, romania","Craiova","Dolj","DJ"
60,"Olosutean H.","An albino water strider (Hemiptera: Gerridae) from the Danube Delta",2015,NA,"University of Sibiu, Department of Environmental Sciences, Applied Ecology Research Centre, 5-7th, Dr. I. Ratiu str., Sibiu, Romania","2-s2.0-84923011922","university of sibiu, department of environmental sciences, applied ecology research centre, 5-7th, dr. i. ratiu str., sibiu, romania","Sibiu","Sibiu","SB"
61,"Tudor I.-M., De<e1>k G.Y., Tudor M.","Zooplankton distribution and dynamics in a Gorgova-Uzlina, Sontea-Furtuna, Rosu-Puiu and Matita-Merhei complex of lakes from the Danube Delta - Romania",2015,NA,"Danube Delta National Institute for Research and Development, 165 Babadag Street, Tulcea, Romania","2-s2.0-84946819814","danube delta national institute for research and development, 165 babadag street, tulcea, romania","Tulcea","Tulcea","TL"
