sex height weight

h 168 69

h 177 73

f 164 53

f 166 57

h 165 60

f 150 42

h 186 74

h 185 83

h 181 77

h 188 72

h 181 67

f 168 58

f 179 60

f 172 61

h 190 90

h 182 85

f 164 52

f 168 62

h 168 58

h 169 68

h 174 70

h 163 54

h 163 63

h 176 70

f 161 51

f 161 50

h 183 70

f 170 76

h 194 87

f 149 48

f 175 54

h 170 60

f 169 57

f 172 51

f 174 55

f 168 50

f 161 50

f 162 48

h 189 72

f 160 52

h 175 64

f 165 53

h 164 72

h 175 61

h 184 78

h 178 68

f 158 51

f 164 53

h 179 79

h 182 74

h 174 62

f 158 49

f 163 50

h 172 74

h 185 80

f 170 53

h 178 73

h 180 70

h 189 72

f 172 70

f 174 62

h 200 77

h 178 70

h 178 76

f 168 51

f 170 52

f 160 57

f 163 53

f 168 55

f 172 66

h 175 65

h 180 75

f 162 50

f 177 53

h 169 55

h 173 55

h 182 72

h 183 75

h 184 73

h 181 71

h 180 66

h 178 71

h 178 79

h 168 62

f 161 47

h 171 73

h 180 72

h 174 60

h 175 67

h 182 85

h 181 73

h 188 82

h 182 86

h 189 85

h 178 65

f 150 47

h 186 74

